human_gene_name,nmr_gene_acc,orthology_type,perc_id,nmr_gene_name,chromosome,biotype,description,species
PSME2,ENSHGLG00000003315,ortholog_one2one,95.3975,PSME2,2,protein_coding,proteasome activator subunit 2 [Source:UniProtKB Gene Name;Acc:A0A0P6JX13],naked_mole_rat
RNF31,ENSHGLG00000002544,ortholog_one2one,81.7248,,2,protein_coding,,naked_mole_rat
SURF6,ENSHGLG00000032558,ortholog_one2one,66.4122,,12,protein_coding,,naked_mole_rat
MED22,ENSHGLG00000013372,ortholog_one2one,97.0,MED22,12,protein_coding,mediator complex subunit 22 [Source:UniProtKB Gene Name;Acc:A0A0P6J6U5],naked_mole_rat
REC8,ENSHGLG00000001626,ortholog_one2one,79.4521,REC8,OX090908.1,protein_coding,REC8 meiotic recombination protein [Source:UniProtKB Gene Name;Acc:A0A0P6IZC0],naked_mole_rat
SNORD24,ENSHGLG00000023995,ortholog_one2one,90.6667,SNORD24,12,snoRNA,Small nucleolar RNA SNORD24 [Source:RFAM;Acc:RF00069],naked_mole_rat
SNORD36B,ENSHGLG00000024533,ortholog_one2one,76.1194,SNORD36,12,snoRNA,Small nucleolar RNA SNORD36 [Source:RFAM;Acc:RF00049],naked_mole_rat
SNORD36C,ENSHGLG00000041284,ortholog_one2one,77.6119,SNORD36,12,snoRNA,Small nucleolar RNA SNORD36 [Source:RFAM;Acc:RF00049],naked_mole_rat
SURF1,ENSHGLG00000014684,ortholog_one2one,76.6562,SURF1,12,protein_coding,SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474],naked_mole_rat
SURF2,ENSHGLG00000019109,ortholog_one2one,63.7993,SURF2,12,protein_coding,surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475],naked_mole_rat
IPO4,ENSHGLG00000002923,ortholog_one2one,89.62,IPO4,OX090908.1,protein_coding,importin 4 [Source:HGNC Symbol;Acc:HGNC:19426],naked_mole_rat
SURF4,ENSHGLG00000042282,ortholog_one2one,83.1169,SURF4,12,protein_coding,surfeit 4 [Source:UniProtKB Gene Name;Acc:A0A0P6JFS9],naked_mole_rat
REXO4,ENSHGLG00000016901,ortholog_one2one,75.1196,REXO4,12,protein_coding,"REX4 homolog, 3'-5' exonuclease [Source:HGNC Symbol;Acc:HGNC:12820]",naked_mole_rat
TM9SF1,ENSHGLG00000002683,ortholog_one2one,97.0297,TM9SF1,OX090908.1,protein_coding,transmembrane 9 superfamily member 1 [Source:UniProtKB Gene Name;Acc:G5B289],naked_mole_rat
NEDD8,ENSHGLG00000043958,ortholog_one2one,68.6567,,2,protein_coding,,naked_mole_rat
CACFD1,ENSHGLG00000019453,ortholog_one2one,75.1244,CACFD1,12,protein_coding,calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365],naked_mole_rat
GMPR2,ENSHGLG00000002296,ortholog_one2one,85.2713,GMPR,2,protein_coding,guanosine monophosphate reductase [Source:UniProtKB Gene Name;Acc:G5B285],naked_mole_rat
SLC2A6,ENSHGLG00000018833,ortholog_one2one,86.6142,SLC2A6,12,protein_coding,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011],naked_mole_rat
KAT6B,ENSHGLG00000016932,ortholog_one2one,93.8775,KAT6B,13,protein_coding,lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582],naked_mole_rat
PLSCR3,ENSHGLG00000019015,ortholog_one2one,61.4754,PLSCR3,20,protein_coding,phospholipid scramblase 3 [Source:HGNC Symbol;Acc:HGNC:16495],naked_mole_rat
TGM1,ENSHGLG00000003157,ortholog_one2one,83.1435,,2,protein_coding,,naked_mole_rat
TMEM256,ENSHGLG00000018691,ortholog_one2one,89.3805,TMEM256,20,protein_coding,transmembrane protein 256 [Source:HGNC Symbol;Acc:HGNC:28618],naked_mole_rat
ISLR,ENSHGLG00000007380,ortholog_one2one,65.7244,ISLR,27,protein_coding,immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133],naked_mole_rat
NLGN2,ENSHGLG00000041822,ortholog_one2one,91.0891,NLGN2,20,protein_coding,neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290],naked_mole_rat
RABGGTA,ENSHGLG00000002942,ortholog_one2one,93.4744,RABGGTA,2,protein_coding,Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795],naked_mole_rat
STRA6,ENSHGLG00000013329,ortholog_one2one,72.3684,STRA6,27,protein_coding,signaling receptor and transporter of retinol STRA6 [Source:HGNC Symbol;Acc:HGNC:30650],naked_mole_rat
SPEM2,ENSHGLG00000009650,ortholog_one2one,60.5701,SPEM2,20,protein_coding,SPEM family member 2 [Source:HGNC Symbol;Acc:HGNC:27315],naked_mole_rat
FGF11,ENSHGLG00000042024,ortholog_one2one,82.6316,FGF11,20,protein_coding,fibroblast growth factor 11 [Source:HGNC Symbol;Acc:HGNC:3667],naked_mole_rat
ZBTB4,ENSHGLG00000046218,ortholog_one2one,92.6431,,20,protein_coding,,naked_mole_rat
DHRS1,ENSHGLG00000037207,ortholog_one2one,61.2583,DHRS1,2,protein_coding,dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445],naked_mole_rat
NOP9,ENSHGLG00000047445,ortholog_one2one,90.7821,LTB4R2,2,protein_coding,leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260],naked_mole_rat
DUSP29,ENSHGLG00000034915,ortholog_one2one,76.6667,DUSP29,13,protein_coding,dual specificity phosphatase 29 [Source:HGNC Symbol;Acc:HGNC:23481],naked_mole_rat
CIDEB,ENSHGLG00000002818,ortholog_one2one,85.8447,CIDEB,2,protein_coding,cell death inducing DFFA like effector b [Source:UniProtKB Gene Name;Acc:A0A0P6J250],naked_mole_rat
LTB4R2,ENSHGLG00000047445,ortholog_one2one,90.7821,LTB4R2,2,protein_coding,leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260],naked_mole_rat
LTB4R,ENSHGLG00000002722,ortholog_one2one,75.0,LTB4R,2,protein_coding,leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713],naked_mole_rat
ADCY4,ENSHGLG00000001787,ortholog_one2one,94.0576,ADCY4,2,protein_coding,adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235],naked_mole_rat
TPRKB,ENSHGLG00000046503,ortholog_one2one,91.8699,,15,protein_coding,TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197],naked_mole_rat
DUSP11,ENSHGLG00000012958,ortholog_one2one,78.6378,DUSP11,4,protein_coding,dual specificity phosphatase 11 [Source:HGNC Symbol;Acc:HGNC:3066],naked_mole_rat
CCDC33,ENSHGLG00000014900,ortholog_one2one,70.1807,CCDC33,27,protein_coding,coiled-coil domain containing 33 [Source:HGNC Symbol;Acc:HGNC:26552],naked_mole_rat
LTN1,ENSHGLG00000005092,ortholog_one2one,88.6211,LTN1,2,protein_coding,listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082],naked_mole_rat
CYP11A1,ENSHGLG00000016326,ortholog_one2one,76.2452,CYP11A1,27,protein_coding,cytochrome P450 family 11 subfamily A member 1 [Source:UniProtKB Gene Name;Acc:A0A0P6JD65],naked_mole_rat
RWDD2B,ENSHGLG00000039973,ortholog_one2one,73.8028,,2,protein_coding,,naked_mole_rat
RIPK3,ENSHGLG00000032590,ortholog_one2one,68.9655,,2,protein_coding,,naked_mole_rat
SEMA7A,ENSHGLG00000016769,ortholog_one2one,88.7218,SEMA7A,27,protein_coding,semaphorin 7A (JohnMiltonHagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741],naked_mole_rat
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
NFATC4,ENSHGLG00000001382,ortholog_one2one,95.1165,NFATC4,2,protein_coding,nuclear factor of activated T cells 4 [Source:UniProtKB Gene Name;Acc:A0A0P6JDG6],naked_mole_rat
UBL7,ENSHGLG00000017586,ortholog_one2one,89.9755,UBL7,27,protein_coding,ubiquitin like 7 [Source:HGNC Symbol;Acc:HGNC:28221],naked_mole_rat
APOB,ENSHGLG00000013850,ortholog_one2one,71.1911,APOB,4,protein_coding,apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603],naked_mole_rat
RPS6KA1,ENSHGLG00000013826,ortholog_one2one,92.4183,RPS6KA1,7,protein_coding,ribosomal protein S6 kinase A1 [Source:UniProtKB Gene Name;Acc:A0A0P6J7Q5],naked_mole_rat
SEL1L2,ENSHGLG00000017747,ortholog_one2one,85.5685,,15,protein_coding,,naked_mole_rat
SLC25A26,ENSHGLG00000010661,ortholog_one2one,60.0707,,9,protein_coding,,naked_mole_rat
ADIPOR2,ENSHGLG00000018584,ortholog_one2one,86.6511,ADIPOR2,10,protein_coding,adiponectin receptor 2 [Source:UniProtKB Gene Name;Acc:A0A0P6JFU1],naked_mole_rat
CACNA2D4,ENSHGLG00000009530,ortholog_one2one,86.034,CACNA2D4,10,protein_coding,calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202],naked_mole_rat
INPP5D,ENSHGLG00000003850,ortholog_one2one,86.5997,INPP5D,25,protein_coding,inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079],naked_mole_rat
ATG16L1,ENSHGLG00000019537,ortholog_one2one,91.8269,ATG16L1,25,protein_coding,autophagy related 16 like 1 [Source:UniProtKB Gene Name;Acc:A0A0P6JA99],naked_mole_rat
ZKSCAN7,ENSHGLG00000033979,ortholog_one2one,88.8268,,8,protein_coding,,naked_mole_rat
ZNF660,ENSHGLG00000039143,ortholog_one2one,93.0091,ZNF660,8,protein_coding,zinc finger protein 660 [Source:HGNC Symbol;Acc:HGNC:26720],naked_mole_rat
ZNF197,ENSHGLG00000017232,ortholog_one2one,90.4287,ZNF197,8,protein_coding,zinc finger protein 197 [Source:HGNC Symbol;Acc:HGNC:12988],naked_mole_rat
ZNF35,ENSHGLG00000043763,ortholog_one2one,89.7143,ZNF35,8,protein_coding,zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099],naked_mole_rat
ZNF502,ENSHGLG00000036985,ortholog_one2one,85.4244,ZNF502,8,protein_coding,zinc finger protein 502 [Source:HGNC Symbol;Acc:HGNC:23718],naked_mole_rat
KIAA1143,ENSHGLG00000012135,ortholog_one2one,76.5714,KIAA1143,8,protein_coding,KIAA1143 [Source:HGNC Symbol;Acc:HGNC:29198],naked_mole_rat
KIF15,ENSHGLG00000011770,ortholog_one2one,81.6655,KIF15,8,protein_coding,kinesin family member 15 [Source:UniProtKB Gene Name;Acc:A0A0P6J9N0],naked_mole_rat
LRTM2,ENSHGLG00000015685,ortholog_one2one,76.0274,LRTM2,10,protein_coding,leucine rich repeats and transmembrane domains 2 [Source:HGNC Symbol;Acc:HGNC:32443],naked_mole_rat
DDX51,ENSHGLG00000041416,ortholog_one2one,80.791,,23,protein_coding,,naked_mole_rat
DCP1B,ENSHGLG00000019233,ortholog_one2one,79.5953,DCP1B,10,protein_coding,decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451],naked_mole_rat
CENATAC,ENSHGLG00000005504,ortholog_one2one,85.3448,CENATAC,5,protein_coding,centrosomal AT-AC splicing factor [Source:HGNC Symbol;Acc:HGNC:30460],naked_mole_rat
CACNA1C,ENSHGLG00000015597,ortholog_one2one,93.7814,,10,protein_coding,,naked_mole_rat
HYOU1,ENSHGLG00000006941,ortholog_one2one,91.4634,HYOU1,5,protein_coding,hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931],naked_mole_rat
MLXIP,ENSHGLG00000018516,ortholog_one2one,80.5263,MLXIP,23,protein_coding,MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055],naked_mole_rat
XYLT1,ENSHGLG00000009585,ortholog_one2one,92.7597,,23,protein_coding,,naked_mole_rat
KPNA7,ENSHGLG00000011028,ortholog_one2one,95.6679,KPNA6,7,protein_coding,karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399],naked_mole_rat
RTP1,ENSHGLG00000013919,ortholog_one2one,87.8327,RTP1,8,protein_coding,receptor transporter protein 1 [Source:HGNC Symbol;Acc:HGNC:28580],naked_mole_rat
MASP1,ENSHGLG00000013470,ortholog_one2one,89.2517,MASP1,8,protein_coding,MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901],naked_mole_rat
VPS11,ENSHGLG00000007268,ortholog_one2one,98.1934,VPS11,5,protein_coding,VPS11 core subunit of CORVET and HOPS complexes [Source:UniProtKB Gene Name;Acc:A0A0P6J3Z9],naked_mole_rat
PADI1,ENSHGLG00000009631,ortholog_one2one,78.3459,PADI1,7,protein_coding,peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367],naked_mole_rat
PADI3,ENSHGLG00000012873,ortholog_one2one,87.8195,PADI3,7,protein_coding,peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337],naked_mole_rat
HBP1,ENSHGLG00000019188,ortholog_one2one,94.4762,HBP1,14,protein_coding,HMG-box transcription factor 1 [Source:UniProtKB Gene Name;Acc:A0A0N8EUR7],naked_mole_rat
PADI4,ENSHGLG00000018245,ortholog_one2one,72.4292,PADI4,7,protein_coding,peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368],naked_mole_rat
