nmr_gene_name,human_gene_acc,orthology_type,perc_id,human_gene_name,chromosome,biotype,description,species
C21orf91,ENSG00000154642,ortholog_one2one,84.8485,C21orf91,21,protein_coding,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459],human
CHODL,ENSG00000154645,ortholog_one2one,95.6044,CHODL,21,protein_coding,chondrolectin [Source:HGNC Symbol;Acc:HGNC:17807],human
USP25,ENSG00000155313,ortholog_one2one,97.0667,USP25,21,protein_coding,ubiquitin specific peptidase 25 [Source:HGNC Symbol;Acc:HGNC:12624],human
HSPA13,ENSG00000155304,ortholog_one2one,90.6582,HSPA13,21,protein_coding,heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375],human
SAMSN1,ENSG00000155307,ortholog_one2one,84.4504,SAMSN1,21,protein_coding,"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]",human
NRIP1,ENSG00000180530,ortholog_one2one,88.8601,NRIP1,21,protein_coding,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
MIR125B2,ENSG00000207863,ortholog_one2one,100.0,MIR125B2,21,miRNA,microRNA 125b-2 [Source:HGNC Symbol;Acc:HGNC:31507],human
LYSMD3,ENSG00000176018,ortholog_one2one,86.2745,LYSMD3,5,protein_coding,LysM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26969],human
MBLAC2,ENSG00000176055,ortholog_one2one,97.1326,MBLAC2,5,protein_coding,metallo-beta-lactamase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33711],human
VCAN,ENSG00000038427,ortholog_one2one,66.3428,VCAN,5,protein_coding,versican [Source:HGNC Symbol;Acc:HGNC:2464],human
CETN3,ENSG00000153140,ortholog_one2one,98.2036,CETN3,5,protein_coding,centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868],human
ARRDC3,ENSG00000113369,ortholog_one2one,93.9613,ARRDC3,5,protein_coding,arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263],human
TMEM161B,ENSG00000164180,ortholog_one2one,96.3039,TMEM161B,5,protein_coding,transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483],human
EDIL3,ENSG00000164176,ortholog_one2one,94.375,EDIL3,5,protein_coding,EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173],human
XRCC4,ENSG00000152422,ortholog_one2one,67.9641,XRCC4,5,protein_coding,X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831],human
ATG10,ENSG00000152348,ortholog_one2one,78.6364,ATG10,5,protein_coding,autophagy related 10 [Source:HGNC Symbol;Acc:HGNC:20315],human
CCNH,ENSG00000134480,ortholog_one2one,94.4272,CCNH,5,protein_coding,cyclin H [Source:HGNC Symbol;Acc:HGNC:1594],human
RASA1,ENSG00000145715,ortholog_one2one,90.5444,RASA1,5,protein_coding,RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871],human
HAPLN1,ENSG00000145681,ortholog_one2one,92.0904,HAPLN1,5,protein_coding,hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380],human
MEF2C,ENSG00000081189,ortholog_one2one,94.2918,MEF2C,5,protein_coding,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996],human
SCARNA18,ENSG00000238835,ortholog_one2one,85.0746,SCARNA18,5,snoRNA,small Cajal body-specific RNA 18 [Source:HGNC Symbol;Acc:HGNC:32559],human
SNORA63,ENSG00000200418,ortholog_one2one,86.9919,SNORA63B,3,snoRNA,"small nucleolar RNA, H/ACA box 63B [Source:HGNC Symbol;Acc:HGNC:52209]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
MIR9-2,ENSG00000284447,ortholog_one2one,100.0,MIR9-2,5,miRNA,microRNA 9-2 [Source:HGNC Symbol;Acc:HGNC:31642],human
EVA1A,ENSG00000115363,ortholog_one2one,84.2105,EVA1A,2,protein_coding,"eva-1 homolog A, regulator of programmed cell death [Source:HGNC Symbol;Acc:HGNC:25816]",human
DUSP11,ENSG00000144048,ortholog_one2one,76.9697,DUSP11,2,protein_coding,dual specificity phosphatase 11 [Source:HGNC Symbol;Acc:HGNC:3066],human
STAMBP,ENSG00000124356,ortholog_one2one,94.8113,STAMBP,2,protein_coding,STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950],human
ACTG2,ENSG00000163017,ortholog_one2one,100.0,ACTG2,2,protein_coding,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]",human
DGUOK,ENSG00000114956,ortholog_one2one,83.3935,DGUOK,2,protein_coding,deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858],human
TET3,ENSG00000187605,ortholog_one2one,89.8607,TET3,2,protein_coding,tet methylcytosine dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:28313],human
MRPL19,ENSG00000115364,ortholog_one2one,79.1096,MRPL19,2,protein_coding,mitochondrial ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:14052],human
GCFC2,ENSG00000005436,ortholog_one2one,78.6172,GCFC2,2,protein_coding,GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317],human
WBP1,ENSG00000239779,ortholog_one2one,87.7323,WBP1,2,protein_coding,WW domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12737],human
RTKN,ENSG00000114993,ortholog_one2one,87.2114,RTKN,2,protein_coding,rhotekin [Source:HGNC Symbol;Acc:HGNC:10466],human
MOGS,ENSG00000115275,ortholog_one2one,89.4863,MOGS,2,protein_coding,mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862],human
MRPL53,ENSG00000204822,ortholog_one2one,81.25,MRPL53,2,protein_coding,mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684],human
CCDC142,ENSG00000135637,ortholog_one2one,76.0,CCDC142,2,protein_coding,coiled-coil domain containing 142 [Source:HGNC Symbol;Acc:HGNC:25889],human
LBX2,ENSG00000179528,ortholog_one2one,79.798,LBX2,2,protein_coding,ladybird homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15525],human
PCGF1,ENSG00000115289,ortholog_one2one,98.0695,PCGF1,2,protein_coding,polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615],human
TLX2,ENSG00000115297,ortholog_one2one,94.7183,TLX2,2,protein_coding,T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057],human
DQX1,ENSG00000144045,ortholog_one2one,82.5662,DQX1,2,protein_coding,DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410],human
AUP1,ENSG00000115307,ortholog_one2one,92.6829,AUP1,2,protein_coding,AUP1 lipid droplet regulating VLDL assembly factor [Source:HGNC Symbol;Acc:HGNC:891],human
HTRA2,ENSG00000115317,ortholog_one2one,82.7511,HTRA2,2,protein_coding,HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348],human
LOXL3,ENSG00000115318,ortholog_one2one,93.8911,LOXL3,2,protein_coding,lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869],human
DOK1,ENSG00000115325,ortholog_one2one,82.5364,DOK1,2,protein_coding,docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990],human
M1AP,ENSG00000159374,ortholog_one2one,83.0189,M1AP,2,protein_coding,meiosis 1 associated protein [Source:HGNC Symbol;Acc:HGNC:25183],human
SEMA4F,ENSG00000135622,ortholog_one2one,91.4286,SEMA4F,2,protein_coding,ssemaphorin 4F [Source:HGNC Symbol;Acc:HGNC:10734],human
POLE4,ENSG00000115350,ortholog_one2one,94.0171,POLE4,2,protein_coding,"DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]",human
TACR1,ENSG00000115353,ortholog_one2one,96.5602,TACR1,2,protein_coding,tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526],human
BOLA3,ENSG00000163170,ortholog_one2one,85.9813,BOLA3,2,protein_coding,bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415],human
DCTN1,ENSG00000204843,ortholog_one2one,97.1049,DCTN1,2,protein_coding,dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
INO80B,ENSG00000115274,ortholog_one2one,95.5056,INO80B,2,protein_coding,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324],human
WDR54,ENSG00000005448,ortholog_one2one,88.9222,WDR54,2,protein_coding,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770],human
MOB1A,ENSG00000114978,ortholog_one2one,99.537,MOB1A,2,protein_coding,MOB kinase activator 1A [Source:HGNC Symbol;Acc:HGNC:16015],human
MARCO,ENSG00000019169,ortholog_one2one,62.8846,MARCO,2,protein_coding,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895],human
TSN,ENSG00000211460,ortholog_one2one,89.4737,TSN,2,protein_coding,translin [Source:HGNC Symbol;Acc:HGNC:12379],human
GLI2,ENSG00000074047,ortholog_one2one,85.9783,GLI2,2,protein_coding,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],human
C1QL2,ENSG00000131094,ortholog_one2one,86.8217,C1QL1,17,protein_coding,complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182],human
STEAP3,ENSG00000115107,ortholog_one2one,87.9518,STEAP3,2,protein_coding,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592],human
MYO1B,ENSG00000128641,ortholog_one2one,97.8873,MYO1B,2,protein_coding,myosin IB [Source:HGNC Symbol;Acc:HGNC:7596],human
DDX18,ENSG00000088205,ortholog_one2one,87.9104,DDX18,2,protein_coding,DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741],human
GTF3C3,ENSG00000119041,ortholog_one2one,90.4063,GTF3C3,2,protein_coding,general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666],human
CFAP221,ENSG00000163075,ortholog_one2one,78.4524,CFAP221,2,protein_coding,cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720],human
TMEM177,ENSG00000144120,ortholog_one2one,78.7781,TMEM177,2,protein_coding,transmembrane protein 177 [Source:HGNC Symbol;Acc:HGNC:28143],human
PTPN4,ENSG00000088179,ortholog_one2one,95.4644,PTPN4,2,protein_coding,protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656],human
STAT4,ENSG00000138378,ortholog_one2one,95.3209,STAT4,2,protein_coding,signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365],human
STAT1,ENSG00000115415,ortholog_one2one,94.1333,STAT1,2,protein_coding,signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362],human
EPB41L5,ENSG00000115109,ortholog_one2one,86.6303,EPB41L5,2,protein_coding,erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819],human
RALB,ENSG00000144118,ortholog_one2one,99.5146,RALB,2,protein_coding,RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840],human
INSIG2,ENSG00000125629,ortholog_one2one,98.2222,INSIG2,2,protein_coding,insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452],human
C2orf76,ENSG00000186132,ortholog_one2one,94.4444,C2orf76,2,protein_coding,chromosome 2 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:27017],human
INHBB,ENSG00000163083,ortholog_one2one,94.3489,INHBB,2,protein_coding,inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067],human
TMEM37,ENSG00000171227,ortholog_one2one,79.4737,TMEM37,2,protein_coding,transmembrane protein 37 [Source:HGNC Symbol;Acc:HGNC:18216],human
EN1,ENSG00000163064,ortholog_one2one,95.4082,EN1,2,protein_coding,engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342],human
NEMP2,ENSG00000189362,ortholog_one2one,64.0288,NEMP2,2,protein_coding,nuclear envelope integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:33700],human
TFCP2L1,ENSG00000115112,ortholog_one2one,93.5282,TFCP2L1,2,protein_coding,transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925],human
MFSD6,ENSG00000151690,ortholog_one2one,89.1277,MFSD6,2,protein_coding,major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711],human
CLASP1,ENSG00000074054,ortholog_one2one,96.5362,CLASP1,2,protein_coding,cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088],human
TMEM185B,ENSG00000226479,ortholog_one2one,96.2857,TMEM185B,2,protein_coding,transmembrane protein 185B [Source:HGNC Symbol;Acc:HGNC:18896],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
EFEMP1,ENSG00000115380,ortholog_one2one,90.6694,EFEMP1,2,protein_coding,EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218],human
CLHC1,ENSG00000162994,ortholog_one2one,72.1843,CLHC1,2,protein_coding,clathrin heavy chain linker domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26453],human
RPS27A,ENSG00000143947,ortholog_one2one,100.0,RPS27A,2,protein_coding,ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417],human
MTIF2,ENSG00000085760,ortholog_one2one,86.6575,MTIF2,2,protein_coding,mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441],human
SPTBN1,ENSG00000115306,ortholog_one2one,99.0271,SPTBN1,2,protein_coding,"spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]",human
CCDC85A,ENSG00000055813,ortholog_one2one,93.1284,CCDC85A,2,protein_coding,coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400],human
ERLEC1,ENSG00000068912,ortholog_one2one,97.1014,ERLEC1,2,protein_coding,endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222],human
GPR75,ENSG00000119737,ortholog_one2one,91.1111,GPR75,2,protein_coding,G protein-coupled receptor 75 [Source:HGNC Symbol;Acc:HGNC:4526],human
TMEM17,ENSG00000186889,ortholog_one2one,80.303,TMEM17,2,protein_coding,transmembrane protein 17 [Source:HGNC Symbol;Acc:HGNC:26623],human
EML6,ENSG00000214595,ortholog_one2one,97.8039,EML6,2,protein_coding,EMAP like 6 [Source:HGNC Symbol;Acc:HGNC:35412],human
RTN4,ENSG00000115310,ortholog_one2one,84.2282,RTN4,2,protein_coding,reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085],human
EHBP1,ENSG00000115504,ortholog_one2one,89.2241,EHBP1,2,protein_coding,EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144],human
OTX1,ENSG00000115507,ortholog_one2one,96.8927,OTX1,2,protein_coding,orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521],human
PAPOLG,ENSG00000115421,ortholog_one2one,95.9239,PAPOLG,2,protein_coding,poly(A) polymerase gamma [Source:HGNC Symbol;Acc:HGNC:14982],human
VRK2,ENSG00000028116,ortholog_one2one,80.315,VRK2,2,protein_coding,VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719],human
FANCL,ENSG00000115392,ortholog_one2one,86.1333,FANCL,2,protein_coding,FA complementation group L [Source:HGNC Symbol;Acc:HGNC:20748],human
REL,ENSG00000162924,ortholog_one2one,82.1124,REL,2,protein_coding,"REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]",human
TMX1,ENSG00000139921,ortholog_one2one,83.9286,TMX1,14,protein_coding,thioredoxin related transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15487],human
PUS10,ENSG00000162927,ortholog_one2one,92.2495,PUS10,2,protein_coding,pseudouridine synthase 10 [Source:HGNC Symbol;Acc:HGNC:26505],human
PEX13,ENSG00000162928,ortholog_one2one,91.3151,PEX13,2,protein_coding,peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855],human
SANBR,ENSG00000162929,ortholog_one2one,92.8969,SANBR,2,protein_coding,SANT and BTB domain regulator of CSR [Source:HGNC Symbol;Acc:HGNC:29387],human
LRFN5,ENSG00000165379,ortholog_one2one,96.1057,LRFN5,14,protein_coding,leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360],human
USP34,ENSG00000115464,ortholog_one2one,98.5336,USP34,2,protein_coding,ubiquitin specific peptidase 34 [Source:HGNC Symbol;Acc:HGNC:20066],human
FAM179B,ENSG00000198718,ortholog_one2one,88.2121,TOGARAM1,14,protein_coding,TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959],human
KLHL28,ENSG00000179454,ortholog_one2one,98.0736,KLHL28,14,protein_coding,kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741],human
XPO1,ENSG00000082898,ortholog_one2one,98.5061,XPO1,2,protein_coding,exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825],human
TRIM9,ENSG00000100505,ortholog_one2one,98.239,TRIM9,14,protein_coding,tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288],human
FAM161A,ENSG00000170264,ortholog_one2one,74.3017,FAM161A,2,protein_coding,FAM161 centrosomal protein A [Source:HGNC Symbol;Acc:HGNC:25808],human
PYGL,ENSG00000100504,ortholog_one2one,94.9233,PYGL,14,protein_coding,glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725],human
ABHD12B,ENSG00000131969,ortholog_one2one,77.6243,ABHD12B,14,protein_coding,abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:HGNC:19837],human
NIN,ENSG00000100503,ortholog_one2one,82.1847,NIN,14,protein_coding,ninein [Source:HGNC Symbol;Acc:HGNC:14906],human
BCL11A,ENSG00000119866,ortholog_one2one,99.7605,BCL11A,2,protein_coding,BCL11 transcription factor A [Source:HGNC Symbol;Acc:HGNC:13221],human
ATL1,ENSG00000198513,ortholog_one2one,95.6989,ATL1,14,protein_coding,atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231],human
MAP4K5,ENSG00000012983,ortholog_one2one,96.5721,MAP4K5,14,protein_coding,mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867],human
CDKL1,ENSG00000100490,ortholog_one2one,89.0756,CDKL1,14,protein_coding,cyclin dependent kinase like 1 [Source:HGNC Symbol;Acc:HGNC:1781],human
DMAC2L,ENSG00000125375,ortholog_one2one,89.5,DMAC2L,14,protein_coding,distal membrane arm assembly component 2 like [Source:HGNC Symbol;Acc:HGNC:18799],human
L2HGDH,ENSG00000087299,ortholog_one2one,87.473,L2HGDH,14,protein_coding,L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
SOS2,ENSG00000100485,ortholog_one2one,95.7958,SOS2,14,protein_coding,SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
METTL21D,ENSG00000100483,ortholog_one2one,93.0131,VCPKMT,14,protein_coding,valosin containing protein lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20352],human
ARF6,ENSG00000165527,ortholog_one2one,100.0,ARF6,14,protein_coding,ARF GTPase 6 [Source:HGNC Symbol;Acc:HGNC:659],human
NEMF,ENSG00000165525,ortholog_one2one,93.8662,NEMF,14,protein_coding,nuclear export mediator factor [Source:HGNC Symbol;Acc:HGNC:10663],human
KLHDC2,ENSG00000165516,ortholog_one2one,86.9458,KLHDC2,14,protein_coding,kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231],human
KLHDC1,ENSG00000197776,ortholog_one2one,92.1182,KLHDC1,14,protein_coding,kelch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19836],human
MGAT2,ENSG00000168282,ortholog_one2one,93.736,MGAT2,14,protein_coding,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]",human
FKBP3,ENSG00000100442,ortholog_one2one,88.3929,FKBP3,14,protein_coding,FKBP prolyl isomerase 3 [Source:HGNC Symbol;Acc:HGNC:3719],human
PRPF39,ENSG00000185246,ortholog_one2one,77.728,PRPF39,14,protein_coding,pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314],human
SNORD127,ENSG00000239043,ortholog_one2one,94.186,SNORD127,14,snoRNA,"small nucleolar RNA, C/D box 127 [Source:HGNC Symbol;Acc:HGNC:33555]",human
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,RN7SL35P,7,misc_RNA,"RNA, 7SL, cytoplasmic 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:46051]",human
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,RN7SL35P,7,misc_RNA,"RNA, 7SL, cytoplasmic 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:46051]",human
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,RN7SL35P,7,misc_RNA,"RNA, 7SL, cytoplasmic 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:46051]",human
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,RN7SL35P,7,misc_RNA,"RNA, 7SL, cytoplasmic 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:46051]",human
POLE2,ENSG00000100479,ortholog_one2one,92.5996,POLE2,14,protein_coding,"DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]",human
ADAMTS1,ENSG00000154734,ortholog_one2one,85.1086,ADAMTS1,21,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217],human
KRTAP19-3,ENSG00000244025,ortholog_one2one,77.7778,KRTAP19-3,21,protein_coding,keratin associated protein 19-3 [Source:HGNC Symbol;Acc:HGNC:18938],human
