heterocephalus_glaber_female_gene,homo_sapiens_gene,orthology_type,perc_id,dn_ds
ACTG2,ENSG00000163017,ortholog_one2one,100.0,
DGUOK,ENSG00000114956,ortholog_one2one,83.3935,
TET3,ENSG00000187605,ortholog_one2one,89.8607,
MRPL19,ENSG00000115364,ortholog_one2one,79.1096,
GCFC2,ENSG00000005436,ortholog_one2one,78.6172,
WBP1,ENSG00000239779,ortholog_one2one,87.7323,
RTKN,ENSG00000114993,ortholog_one2one,87.2114,
MOGS,ENSG00000115275,ortholog_one2one,89.4863,
MRPL53,ENSG00000204822,ortholog_one2one,81.25,
CCDC142,ENSG00000135637,ortholog_one2one,76.0,
LBX2,ENSG00000179528,ortholog_one2one,79.798,
PCGF1,ENSG00000115289,ortholog_one2one,98.0695,
TLX2,ENSG00000115297,ortholog_one2one,94.7183,
DQX1,ENSG00000144045,ortholog_one2one,82.5662,
AUP1,ENSG00000115307,ortholog_one2one,92.6829,
HTRA2,ENSG00000115317,ortholog_one2one,82.7511,
LOXL3,ENSG00000115318,ortholog_one2one,93.8911,
DOK1,ENSG00000115325,ortholog_one2one,82.5364,
M1AP,ENSG00000159374,ortholog_one2one,83.0189,
SEMA4F,ENSG00000135622,ortholog_one2one,91.4286,
POLE4,ENSG00000115350,ortholog_one2one,94.0171,
TACR1,ENSG00000115353,ortholog_one2one,96.5602,
BOLA3,ENSG00000163170,ortholog_one2one,85.9813,
DCTN1,ENSG00000204843,ortholog_one2one,97.1049,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U5,ENSG00000252410,ortholog_one2one,55.6522,
U6,ENSG00000252980,ortholog_one2one,67.0,
INO80B,ENSG00000115274,ortholog_one2one,95.5056,
WDR54,ENSG00000005448,ortholog_one2one,88.9222,
MOB1A,ENSG00000114978,ortholog_one2one,99.537,
MARCO,ENSG00000019169,ortholog_one2one,62.8846,
TSN,ENSG00000211460,ortholog_one2one,89.4737,
GLI2,ENSG00000074047,ortholog_one2one,85.9783,
C1QL2,ENSG00000131094,ortholog_one2one,86.8217,
STEAP3,ENSG00000115107,ortholog_one2one,87.9518,
MYO1B,ENSG00000128641,ortholog_one2one,97.8873,
DDX18,ENSG00000088205,ortholog_one2one,87.9104,
GTF3C3,ENSG00000119041,ortholog_one2one,90.4063,
CFAP221,ENSG00000163075,ortholog_one2one,78.4524,
TMEM177,ENSG00000144120,ortholog_one2one,78.7781,
PTPN4,ENSG00000088179,ortholog_one2one,95.4644,
STAT4,ENSG00000138378,ortholog_one2one,95.3209,
STAT1,ENSG00000115415,ortholog_one2one,94.1333,
EPB41L5,ENSG00000115109,ortholog_one2one,86.6303,
RALB,ENSG00000144118,ortholog_one2one,99.5146,
INSIG2,ENSG00000125629,ortholog_one2one,98.2222,
C2orf76,ENSG00000186132,ortholog_one2one,94.4444,
INHBB,ENSG00000163083,ortholog_one2one,94.3489,
TMEM37,ENSG00000171227,ortholog_one2one,79.4737,
EN1,ENSG00000163064,ortholog_one2one,95.4082,
NEMP2,ENSG00000189362,ortholog_one2one,64.0288,
TFCP2L1,ENSG00000115112,ortholog_one2one,93.5282,
MFSD6,ENSG00000151690,ortholog_one2one,89.1277,
CLASP1,ENSG00000074054,ortholog_one2one,96.5362,
TMEM185B,ENSG00000226479,ortholog_one2one,96.2857,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
EFEMP1,ENSG00000115380,ortholog_one2one,90.6694,
CLHC1,ENSG00000162994,ortholog_one2one,72.1843,
RPS27A,ENSG00000143947,ortholog_one2one,100.0,
MTIF2,ENSG00000085760,ortholog_one2one,86.6575,
SPTBN1,ENSG00000115306,ortholog_one2one,99.0271,
CCDC85A,ENSG00000055813,ortholog_one2one,93.1284,
ERLEC1,ENSG00000068912,ortholog_one2one,97.1014,
GPR75,ENSG00000119737,ortholog_one2one,91.1111,
CCDC88A,ENSG00000015133,ortholog_one2one,44.3294,
TMEM17,ENSG00000186889,ortholog_one2one,80.303,
EML6,ENSG00000214595,ortholog_one2one,97.8039,
RTN4,ENSG00000115310,ortholog_one2one,84.2282,
EHBP1,ENSG00000115504,ortholog_one2one,89.2241,
OTX1,ENSG00000115507,ortholog_one2one,96.8927,
PAPOLG,ENSG00000115421,ortholog_one2one,95.9239,
VRK2,ENSG00000028116,ortholog_one2one,80.315,
FANCL,ENSG00000115392,ortholog_one2one,86.1333,
REL,ENSG00000162924,ortholog_one2one,82.1124,
TMX1,ENSG00000139921,ortholog_one2one,83.9286,
PUS10,ENSG00000162927,ortholog_one2one,92.2495,
PEX13,ENSG00000162928,ortholog_one2one,91.3151,
SANBR,ENSG00000162929,ortholog_one2one,92.8969,
C2orf74,ENSG00000237651,ortholog_one2one,55.615,
LRFN5,ENSG00000165379,ortholog_one2one,96.1057,
USP34,ENSG00000115464,ortholog_one2one,98.5336,
FAM179B,ENSG00000198718,ortholog_one2one,88.2121,
KLHL28,ENSG00000179454,ortholog_one2one,98.0736,
XPO1,ENSG00000082898,ortholog_one2one,98.5061,
TRIM9,ENSG00000100505,ortholog_one2one,98.239,
FAM161A,ENSG00000170264,ortholog_one2one,74.3017,
PYGL,ENSG00000100504,ortholog_one2one,94.9233,
ABHD12B,ENSG00000131969,ortholog_one2one,77.6243,
NIN,ENSG00000100503,ortholog_one2one,82.1847,
BCL11A,ENSG00000119866,ortholog_one2one,99.7605,
ATL1,ENSG00000198513,ortholog_one2one,95.6989,
MAP4K5,ENSG00000012983,ortholog_one2one,96.5721,
CDKL1,ENSG00000100490,ortholog_one2one,89.0756,
DMAC2L,ENSG00000125375,ortholog_one2one,89.5,
L2HGDH,ENSG00000087299,ortholog_one2one,87.473,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
SOS2,ENSG00000100485,ortholog_one2one,95.7958,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
METTL21D,ENSG00000100483,ortholog_one2one,93.0131,
ARF6,ENSG00000165527,ortholog_one2one,100.0,
NEMF,ENSG00000165525,ortholog_one2one,93.8662,
KLHDC2,ENSG00000165516,ortholog_one2one,86.9458,
KLHDC1,ENSG00000197776,ortholog_one2one,92.1182,
MGAT2,ENSG00000168282,ortholog_one2one,93.736,
FKBP3,ENSG00000100442,ortholog_one2one,88.3929,
PRPF39,ENSG00000185246,ortholog_one2one,77.728,
SNORD127,ENSG00000239043,ortholog_one2one,94.186,
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,
POLE2,ENSG00000100479,ortholog_one2one,92.5996,
ADAMTS1,ENSG00000154734,ortholog_one2one,85.1086,
KRTAP19-3,ENSG00000244025,ortholog_one2one,77.7778,
MRPL39,ENSG00000154719,ortholog_one2one,88.4615,
JAM2,ENSG00000154721,ortholog_one2one,83.8926,
ATP5PF,ENSG00000154723,ortholog_one2one,87.037,
GABPA,ENSG00000154727,ortholog_one2one,99.1189,
NEURL1B,ENSG00000214357,ortholog_one2one,96.3964,
APP,ENSG00000142192,ortholog_one2one,97.013,
FGF18,ENSG00000156427,ortholog_one2one,97.1014,
CYYR1,ENSG00000166265,ortholog_one2one,87.0968,
C16orf46,ENSG00000166455,ortholog_one2one,50.8861,
KRTAP26-1,ENSG00000197683,ortholog_one2one,56.1905,
KCNIP1,ENSG00000182132,ortholog_one2one,91.6667,
BCO1,ENSG00000135697,ortholog_one2one,85.192,
KRTAP7-1,ENSG00000274749,ortholog_one2one,70.1149,
CLDN8,ENSG00000156284,ortholog_one2one,77.3333,
GRIK1,ENSG00000171189,ortholog_one2one,95.6797,
CFDP1,ENSG00000153774,ortholog_one2one,75.5853,
MIS18A,ENSG00000159055,ortholog_one2one,77.6824,
TENM2,ENSG00000145934,ortholog_one2one,98.8104,
GAN,ENSG00000261609,ortholog_one2one,97.6549,
WWC1,ENSG00000113645,ortholog_one2one,93.0818,
CIAO2B,ENSG00000166595,ortholog_one2one,98.1595,
RRAD,ENSG00000166592,ortholog_one2one,92.8571,
CDH16,ENSG00000166589,ortholog_one2one,78.7696,
PANK3,ENSG00000120137,ortholog_one2one,96.7568,
PDP2,ENSG00000172840,ortholog_one2one,88.2798,
CA7,ENSG00000168748,ortholog_one2one,95.4545,
SLIT3,ENSG00000184347,ortholog_one2one,94.3532,
NAE1,ENSG00000159593,ortholog_one2one,95.8801,
GABRP,ENSG00000094755,ortholog_one2one,93.4091,
TERB1,ENSG00000249961,ortholog_one2one,76.4787,
SMIM23,ENSG00000185662,ortholog_one2one,51.1628,
DUSP1,ENSG00000120129,ortholog_one2one,97.8202,
CMIP,ENSG00000153815,ortholog_one2one,77.8784,
DOCK2,ENSG00000134516,ortholog_one2one,95.6284,
BACH1,ENSG00000156273,ortholog_one2one,85.5978,
EVA1C,ENSG00000166979,ortholog_one2one,89.1156,
TMEM170A,ENSG00000166822,ortholog_one2one,96.5278,
FAM196B,ENSG00000204767,ortholog_one2one,83.3645,
FOXI1,ENSG00000168269,ortholog_one2one,83.3333,
C5orf58,ENSG00000234511,ortholog_one2one,66.6667,
RB1CC1,ENSG00000023287,ortholog_one2one,92.66,
BEAN1,ENSG00000166546,ortholog_one2one,78.7645,
MSX2,ENSG00000120149,ortholog_one2one,95.8801,
LTN1,ENSG00000198862,ortholog_one2one,89.5243,
TMEM231,ENSG00000205084,ortholog_one2one,69.3038,
BNIP1,ENSG00000113734,ortholog_one2one,94.7368,
ZNRF1,ENSG00000186187,ortholog_one2one,98.2379,
NKX2-5,ENSG00000183072,ortholog_one2one,91.9753,
STC2,ENSG00000113739,ortholog_one2one,87.7483,
LDHD,ENSG00000166816,ortholog_one2one,83.8843,
ERGIC1,ENSG00000113719,ortholog_one2one,97.5862,
CFAP298,ENSG00000159079,ortholog_one2one,86.5517,
Oprk1,ENSG00000082556,ortholog_one2one,95.2632,
ZFP1,ENSG00000184517,ortholog_one2one,92.8747,
SYNJ1,ENSG00000159082,ortholog_one2one,63.3867,
ST18,ENSG00000147488,ortholog_one2one,91.022,
CMTM4,ENSG00000183723,ortholog_one2one,95.1923,
CMTM3,ENSG00000140931,ortholog_one2one,91.7582,
CPEB4,ENSG00000113742,ortholog_one2one,99.5885,
TK2,ENSG00000157368,ortholog_one2one,69.8347,
PLCG2,ENSG00000197943,ortholog_one2one,87.668,
RPS3A,ENSG00000145425,ortholog_one2one,100.0,
C5orf47,ENSG00000185056,ortholog_one2one,56.25,
ALKAL1,ENSG00000196711,ortholog_one2one,81.3953,
SDR42E1,ENSG00000184860,ortholog_one2one,83.2061,
HSD17B2,ENSG00000086696,ortholog_one2one,63.0491,
MON1B,ENSG00000103111,ortholog_one2one,88.8483,
RANBP17,ENSG00000204764,ortholog_one2one,93.5662,
ADAMTS18,ENSG00000140873,ortholog_one2one,89.1892,
SOX17,ENSG00000164736,ortholog_one2one,89.1304,
NUDT7,ENSG00000140876,ortholog_one2one,69.3277,
ATP6V1H,ENSG00000047249,ortholog_one2one,98.7578,
STK10,ENSG00000072786,ortholog_one2one,90.5992,
VAT1L,ENSG00000171724,ortholog_one2one,97.136,
CLEC3A,ENSG00000166509,ortholog_one2one,87.3096,
EFCAB9,ENSG00000214360,ortholog_one2one,65.9898,
UBTD2,ENSG00000168246,ortholog_one2one,97.8633,
WWOX,ENSG00000186153,ortholog_one2one,83.5749,
SH3PXD2B,ENSG00000174705,ortholog_one2one,88.1449,
TLX3,ENSG00000164438,ortholog_one2one,99.3127,
MAF,ENSG00000178573,ortholog_one2one,94.5409,
BCAR1,ENSG00000050820,ortholog_one2one,86.5517,
TCEA1,ENSG00000187735,ortholog_one2one,96.0133,
FBLL1,ENSG00000188573,ortholog_one2one,90.4192,
DYNLRB2,ENSG00000168589,ortholog_one2one,94.7917,
CDYL2,ENSG00000166446,ortholog_one2one,93.8735,
MRPL15,ENSG00000137547,ortholog_one2one,88.8513,
HUNK,ENSG00000142149,ortholog_one2one,87.9552,
CENPN,ENSG00000166451,ortholog_one2one,79.351,
NPBWR1,ENSG00000288611,ortholog_one2one,90.8537,
ATMIN,ENSG00000166454,ortholog_one2one,83.9611,
SOD1,ENSG00000142168,ortholog_one2one,84.4156,
GABARAPL2,ENSG00000034713,ortholog_one2one,92.3077,
ADAT1,ENSG00000065457,ortholog_one2one,82.2709,
PAXBP1,ENSG00000159086,ortholog_one2one,97.1647,
EPCIP,ENSG00000205929,ortholog_one2one,82.1918,
U6,ENSG00000252980,ortholog_one2one,67.0,
KRTAP24-1,ENSG00000188694,ortholog_one2one,60.6299,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,
KRTAP15-1,ENSG00000186970,ortholog_one2one,59.1241,
CLDN17,ENSG00000156282,ortholog_one2one,85.2679,
NSG2,ENSG00000170091,ortholog_one2one,99.4152,
FBXW11,ENSG00000072803,ortholog_one2one,94.1385,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
CCL22,ENSG00000102962,ortholog_one2one,67.7419,
RSPRY1,ENSG00000159579,ortholog_one2one,92.0139,
CPNE2,ENSG00000140848,ortholog_one2one,95.2555,
NLRC5,ENSG00000140853,ortholog_one2one,71.329,
NRG1,ENSG00000157168,ortholog_one2one,72.9688,
CETP,ENSG00000087237,ortholog_one2one,72.4138,
Herpud1,ENSG00000051108,ortholog_one2one,89.2583,
SLC12A3,ENSG00000070915,ortholog_one2one,91.381,
NSUN3,ENSG00000178694,ortholog_one2one,83.5294,
ABI3BP,ENSG00000154175,ortholog_one2one,73.5722,
NUP93,ENSG00000102900,ortholog_one2one,94.7497,
MT4,ENSG00000102891,ortholog_one2one,88.7097,
BBS2,ENSG00000125124,ortholog_one2one,89.7365,
TFG,ENSG00000114354,ortholog_one2one,94.25,
OGFOD1,ENSG00000087263,ortholog_one2one,86.7159,
SGCZ,ENSG00000185053,ortholog_one2one,95.8333,
ADGRG7,ENSG00000144820,ortholog_one2one,73.4003,
NUDT21,ENSG00000167005,ortholog_one2one,99.5595,
TMEM45A,ENSG00000181458,ortholog_one2one,78.9091,
STX19,ENSG00000178750,ortholog_one2one,87.7551,
PROS1,ENSG00000184500,ortholog_one2one,81.5089,
GTF2E2,ENSG00000197265,ortholog_one2one,95.189,
IRX6,ENSG00000159387,ortholog_one2one,78.0269,
TOMM70,ENSG00000154174,ortholog_one2one,97.6974,
IRX5,ENSG00000176842,ortholog_one2one,96.4803,
NIT2,ENSG00000114021,ortholog_one2one,92.3913,
SLC6A2,ENSG00000103546,ortholog_one2one,92.0583,
LPCAT2,ENSG00000087253,ortholog_one2one,90.8088,
EPHA3,ENSG00000044524,ortholog_one2one,96.4395,
MMP2,ENSG00000087245,ortholog_one2one,94.3939,
PPP2CB,ENSG00000104695,ortholog_one2one,94.4984,
TEX15,ENSG00000133863,ortholog_one2one,63.5246,
CX3CL1,ENSG00000006210,ortholog_one2one,65.995,
CRYBG3,ENSG00000080200,ortholog_one2one,70.404,
PURG,ENSG00000172733,ortholog_one2one,84.7262,
ARL6,ENSG00000113966,ortholog_one2one,93.5484,
WRN,ENSG00000165392,ortholog_one2one,75.5587,
TBC1D23,ENSG00000036054,ortholog_one2one,94.9928,
IRX3,ENSG00000177508,ortholog_one2one,94.012,
EPHA6,ENSG00000080224,ortholog_one2one,89.646,
FTO,ENSG00000140718,ortholog_one2one,88.5149,
RPGRIP1L,ENSG00000103494,ortholog_one2one,85.0951,
AKTIP,ENSG00000166971,ortholog_one2one,96.2329,
RBL2,ENSG00000103479,ortholog_one2one,95.1712,
FILIP1L,ENSG00000168386,ortholog_one2one,89.6639,
ADGRG3,ENSG00000182885,ortholog_one2one,71.2204,
ADGRG1,ENSG00000205336,ortholog_one2one,83.2606,
NFKBIZ,ENSG00000144802,ortholog_one2one,83.7047,
CNTNAP4,ENSG00000152910,ortholog_one2one,87.5382,
DOK4,ENSG00000125170,ortholog_one2one,99.6933,
SEMA3E,ENSG00000170381,ortholog_one2one,78.3226,
NXPE3,ENSG00000144815,ortholog_one2one,94.6333,
CDH11,ENSG00000140937,ortholog_one2one,96.4824,
HGF,ENSG00000019991,ortholog_one2one,81.7308,
ST3GAL6,ENSG00000064225,ortholog_one2one,91.8429,
CPOX,ENSG00000080819,ortholog_one2one,85.4626,
CEP97,ENSG00000182504,ortholog_one2one,84.8555,
RPL24,ENSG00000114391,ortholog_one2one,98.7261,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
ZBTB11,ENSG00000066422,ortholog_one2one,92.4027,
MSR1,ENSG00000038945,ortholog_one2one,75.1663,
PPP1R3B,ENSG00000173281,ortholog_one2one,83.8596,
GRM3,ENSG00000198822,ortholog_one2one,88.851,
SENP7,ENSG00000138468,ortholog_one2one,83.8095,
ERI1,ENSG00000104626,ortholog_one2one,89.6848,
TMEM66,ENSG00000133872,ortholog_one2one,78.4661,
SEMA3A,ENSG00000075213,ortholog_one2one,92.0882,
CLDND1,ENSG00000080822,ortholog_one2one,95.6522,
GPR15,ENSG00000154165,ortholog_one2one,86.6667,
MBOAT4,ENSG00000177669,ortholog_one2one,81.1494,
DCTN6,ENSG00000104671,ortholog_one2one,96.8421,
OR5AC2,ENSG00000196578,ortholog_one2one,68.2848,
CLDN23,ENSG00000253958,ortholog_one2one,79.1096,
OR5K3,ENSG00000206536,ortholog_one2one,74.1433,
C8orf48,ENSG00000164743,ortholog_one2one,51.7241,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
Metazoa_SRP,ENSG00000240347,ortholog_one2one,68.4931,
CMSS1,ENSG00000184220,ortholog_one2one,86.0215,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
UQCRFS1,ENSG00000169021,ortholog_one2one,88.3212,
FCRL1,ENSG00000163534,ortholog_one2one,67.8322,
CD5L,ENSG00000073754,ortholog_one2one,69.4524,
POLR2C,ENSG00000102978,ortholog_one2one,99.6364,
COQ9,ENSG00000088682,ortholog_one2one,89.3082,
PRSS54,ENSG00000103023,ortholog_one2one,51.6456,
CFAP263,ENSG00000103021,ortholog_one2one,77.4536,
MMP15,ENSG00000102996,ortholog_one2one,93.1241,
USB1,ENSG00000103005,ortholog_one2one,85.6604,
SPMIP8,ENSG00000159648,ortholog_one2one,87.963,
CCDC102A,ENSG00000135736,ortholog_one2one,94.7273,
CCL17,ENSG00000102970,ortholog_one2one,69.1489,
CFAP20,ENSG00000070761,ortholog_one2one,99.4819,
KIFC3,ENSG00000140859,ortholog_one2one,89.4673,
KATNB1,ENSG00000140854,ortholog_one2one,95.1145,
DRC7,ENSG00000159625,ortholog_one2one,83.8673,
SLC38A7,ENSG00000103042,ortholog_one2one,95.0216,
CNOT1,ENSG00000125107,ortholog_one2one,99.4949,
SETD6,ENSG00000103037,ortholog_one2one,82.241,
NDRG4,ENSG00000103034,ortholog_one2one,96.5909,
GINS3,ENSG00000181938,ortholog_one2one,92.1296,
SNORA46,ENSG00000207493,ortholog_one2one,88.8889,
SNORA50A,ENSG00000281910,ortholog_one2one,93.3824,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
AMFR,ENSG00000159461,ortholog_one2one,95.6454,
NEK1,ENSG00000137601,ortholog_one2one,87.0918,
CLCN3,ENSG00000109572,ortholog_one2one,97.7995,
HPF1,ENSG00000056050,ortholog_one2one,88.1503,
GPM6A,ENSG00000150625,ortholog_one2one,99.6403,
WDR17,ENSG00000150627,ortholog_one2one,90.9587,
SPATA4,ENSG00000150628,ortholog_one2one,60.9836,
ASB5,ENSG00000164122,ortholog_one2one,92.7052,
SPCS3,ENSG00000129128,ortholog_one2one,97.7778,
PALLD,ENSG00000129116,ortholog_one2one,87.9786,
MFAP3L,ENSG00000198948,ortholog_one2one,92.665,
AADAT,ENSG00000109576,ortholog_one2one,77.4118,
BBS7,ENSG00000138686,ortholog_one2one,92.1678,
QRFPR,ENSG00000186867,ortholog_one2one,91.4153,
NDNF,ENSG00000173376,ortholog_one2one,95.2465,
SH3RF1,ENSG00000154447,ortholog_one2one,93.1306,
SAP30,ENSG00000164105,ortholog_one2one,81.3636,
GLRA3,ENSG00000145451,ortholog_one2one,85.1293,
AGA,ENSG00000038002,ortholog_one2one,86.9942,
FBXO8,ENSG00000164117,ortholog_one2one,98.4326,
CEP44,ENSG00000164118,ortholog_one2one,74.359,
HPGD,ENSG00000164120,ortholog_one2one,89.4737,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
ASL,ENSG00000126522,ortholog_one2one,91.8103,
CCM2,ENSG00000136280,ortholog_one2one,89.1892,
NACAD,ENSG00000136274,ortholog_one2one,51.8566,
DDX56,ENSG00000136271,ortholog_one2one,90.6764,
TMED4,ENSG00000158604,ortholog_one2one,79.2952,
OGDH,ENSG00000105953,ortholog_one2one,95.6989,
ZMIZ2,ENSG00000122515,ortholog_one2one,91.9565,
DBNL,ENSG00000136279,ortholog_one2one,88.1395,
PGAM2,ENSG00000164708,ortholog_one2one,91.6996,
POLM,ENSG00000122678,ortholog_one2one,78.3401,
POLD2,ENSG00000106628,ortholog_one2one,94.8827,
MYL7,ENSG00000106631,ortholog_one2one,96.0,
GCK,ENSG00000106633,ortholog_one2one,94.6237,
YKT6,ENSG00000106636,ortholog_one2one,90.9091,
SBDS,ENSG00000126524,ortholog_one2one,96.8,
TMEM248,ENSG00000106609,ortholog_one2one,94.2675,
RABGEF1,ENSG00000154710,ortholog_one2one,96.5377,
KCTD7,ENSG00000243335,ortholog_one2one,96.8858,
TPST1,ENSG00000169902,ortholog_one2one,95.4054,
TBRG4,ENSG00000136270,ortholog_one2one,74.6434,
NPC1L1,ENSG00000015520,ortholog_one2one,74.8499,
H2AFV,ENSG00000105968,ortholog_one2one,99.2188,
MYO1G,ENSG00000136286,ortholog_one2one,90.5697,
CAMK2B,ENSG00000058404,ortholog_one2one,92.3423,
RAMP3,ENSG00000122679,ortholog_one2one,75.0,
VWC2,ENSG00000188730,ortholog_one2one,89.8462,
ZPBP,ENSG00000042813,ortholog_one2one,74.9288,
ADCY1,ENSG00000164742,ortholog_one2one,91.3315,
IGFBP1,ENSG00000146678,ortholog_one2one,71.0425,
FIGNL1,ENSG00000132436,ortholog_one2one,84.1246,
EGFR,ENSG00000146648,ortholog_one2one,89.4215,
CHCHD2,ENSG00000106153,ortholog_one2one,82.1192,
PHKG1,ENSG00000164776,ortholog_one2one,93.5401,
PSPH,ENSG00000146733,ortholog_one2one,91.1111,
GBAS,ENSG00000146729,ortholog_one2one,83.5664,
ABCA13,ENSG00000179869,ortholog_one2one,68.4263,
HUS1,ENSG00000136273,ortholog_one2one,82.5,
SUN3,ENSG00000164744,ortholog_one2one,72.8291,
DDC,ENSG00000132437,ortholog_one2one,86.875,
C7orf57,ENSG00000164746,ortholog_one2one,72.5424,
GRB10,ENSG00000106070,ortholog_one2one,84.1751,
UPP1,ENSG00000183696,ortholog_one2one,76.7742,
TNS3,ENSG00000136205,ortholog_one2one,80.4152,
TNPO2,ENSG00000105576,ortholog_one2one,99.4426,
KLF1,ENSG00000105610,ortholog_one2one,70.7182,
GCDH,ENSG00000105607,ortholog_one2one,75.7991,
LANCL2,ENSG00000132434,ortholog_one2one,90.2222,
VOPP1,ENSG00000154978,ortholog_one2one,83.1395,
CALR,ENSG00000179218,ortholog_one2one,94.2446,
RAD23A,ENSG00000179262,ortholog_one2one,78.2369,
NOTCH3,ENSG00000074181,ortholog_one2one,90.0474,
USP53,ENSG00000145390,ortholog_one2one,82.2926,
MYOZ2,ENSG00000172399,ortholog_one2one,89.7727,
NDST3,ENSG00000164100,ortholog_one2one,97.1363,
U6,ENSG00000252980,ortholog_one2one,67.0,
SNORA5A,ENSG00000206838,ortholog_one2one,79.8507,
U6,ENSG00000252980,ortholog_one2one,67.0,
SNORA5C,ENSG00000201772,ortholog_one2one,85.4015,
U6,ENSG00000252980,ortholog_one2one,67.0,
PDE5A,ENSG00000138735,ortholog_one2one,89.9429,
