gene_id,gene_name,chromosome,biotype,description,species
ENSHGLG00000033826,,6,lncRNA,,naked_mole_rat
ENSHGLG00000028038,,6,lncRNA,,naked_mole_rat
ENSHGLG00000033416,,6,lncRNA,,naked_mole_rat
ENSHGLG00000048894,,6,lncRNA,,naked_mole_rat
ENSHGLG00000046240,,6,lncRNA,,naked_mole_rat
ENSHGLG00000050633,,6,lncRNA,,naked_mole_rat
ENSHGLG00000038260,,6,lncRNA,,naked_mole_rat
ENSHGLG00000024037,SCARNA18,6,snoRNA,small Cajal body-specific RNA 18 [Source:HGNC Symbol;Acc:HGNC:32559],naked_mole_rat
ENSHGLG00000021537,,6,snoRNA,,naked_mole_rat
ENSHGLG00000037087,SNORA63,6,snoRNA,Small nucleolar RNA SNORA63 [Source:RFAM;Acc:RF00092],naked_mole_rat
ENSHGLG00000048668,U2,6,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000043581,U2,6,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000023886,U6,6,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000022274,MIR9-2,6,miRNA,microRNA 9-2 [Source:HGNC Symbol;Acc:HGNC:31642],naked_mole_rat
ENSHGLG00000042570,,6,protein_coding,,naked_mole_rat
ENSHGLG00000008871,,6,protein_coding,,naked_mole_rat
ENSHGLG00000015346,,4,protein_coding,,naked_mole_rat
ENSHGLG00000034192,,4,protein_coding,,naked_mole_rat
ENSHGLG00000040877,EVA1A,4,protein_coding,"eva-1 homolog A, regulator of programmed cell death [Source:HGNC Symbol;Acc:HGNC:25816]",naked_mole_rat
ENSHGLG00000012958,DUSP11,4,protein_coding,dual specificity phosphatase 11 [Source:HGNC Symbol;Acc:HGNC:3066],naked_mole_rat
ENSHGLG00000012325,,4,protein_coding,,naked_mole_rat
ENSHGLG00000042126,,4,pseudogene,,naked_mole_rat
ENSHGLG00000014430,STAMBP,4,protein_coding,STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950],naked_mole_rat
ENSHGLG00000012685,ACTG2,4,protein_coding,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]",naked_mole_rat
ENSHGLG00000009167,DGUOK,4,protein_coding,deoxyguanosine kinase [Source:UniProtKB Gene Name;Acc:A0A0P6J8S4],naked_mole_rat
ENSHGLG00000006091,TET3,4,protein_coding,tet methylcytosine dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:28313],naked_mole_rat
ENSHGLG00000008059,,4,protein_coding,,naked_mole_rat
ENSHGLG00000042011,MRPL19,4,protein_coding,mitochondrial ribosomal protein L19 [Source:UniProtKB Gene Name;Acc:A0A0P6JEQ3],naked_mole_rat
ENSHGLG00000008801,GCFC2,4,protein_coding,GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317],naked_mole_rat
ENSHGLG00000016889,,4,protein_coding,,naked_mole_rat
ENSHGLG00000005143,,4,protein_coding,,naked_mole_rat
ENSHGLG00000045424,,4,protein_coding,,naked_mole_rat
ENSHGLG00000015398,,4,protein_coding,,naked_mole_rat
ENSHGLG00000042851,WBP1,4,protein_coding,WW domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12737],naked_mole_rat
ENSHGLG00000008792,RTKN,4,protein_coding,rhotekin [Source:HGNC Symbol;Acc:HGNC:10466],naked_mole_rat
ENSHGLG00000035127,MOGS,4,protein_coding,mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862],naked_mole_rat
ENSHGLG00000040604,MRPL53,4,protein_coding,mitochondrial ribosomal protein L53 [Source:UniProtKB Gene Name;Acc:G5AXF4],naked_mole_rat
ENSHGLG00000043896,,17,protein_coding,,naked_mole_rat
ENSHGLG00000040057,,17,protein_coding,,naked_mole_rat
ENSHGLG00000050547,,17,lncRNA,,naked_mole_rat
ENSHGLG00000048760,SNORA70,17,snoRNA,Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156],naked_mole_rat
ENSHGLG00000008633,CCDC142,4,protein_coding,coiled-coil domain containing 142 [Source:HGNC Symbol;Acc:HGNC:25889],naked_mole_rat
ENSHGLG00000033871,,4,protein_coding,,naked_mole_rat
ENSHGLG00000036953,,4,protein_coding,,naked_mole_rat
ENSHGLG00000047185,LBX2,4,protein_coding,ladybird homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15525],naked_mole_rat
ENSHGLG00000007734,,4,protein_coding,,naked_mole_rat
ENSHGLG00000033144,PCGF1,4,protein_coding,polycomb group ring finger 1 [Source:UniProtKB Gene Name;Acc:G5AXF0],naked_mole_rat
ENSHGLG00000005792,TLX2,4,protein_coding,T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057],naked_mole_rat
ENSHGLG00000011994,DQX1,4,protein_coding,DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410],naked_mole_rat
ENSHGLG00000013187,AUP1,4,protein_coding,AUP1 lipid droplet regulating VLDL assembly factor [Source:UniProtKB Gene Name;Acc:A0A0P6J812],naked_mole_rat
ENSHGLG00000009744,HTRA2,4,protein_coding,HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348],naked_mole_rat
ENSHGLG00000006170,LOXL3,4,protein_coding,lysyl oxidase like 3 [Source:UniProtKB Gene Name;Acc:G5AXE5],naked_mole_rat
ENSHGLG00000005074,DOK1,4,protein_coding,docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990],naked_mole_rat
ENSHGLG00000004860,M1AP,4,protein_coding,meiosis 1 associated protein [Source:HGNC Symbol;Acc:HGNC:25183],naked_mole_rat
ENSHGLG00000009042,SEMA4F,4,protein_coding,ssemaphorin 4F [Source:UniProtKB Gene Name;Acc:A0A0P6J5C0],naked_mole_rat
ENSHGLG00000035045,,4,protein_coding,,naked_mole_rat
ENSHGLG00000005907,,4,protein_coding,hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923],naked_mole_rat
ENSHGLG00000047239,POLE4,4,protein_coding,"DNA polymerase epsilon 4, accessory subunit [Source:UniProtKB Gene Name;Acc:A0A0P6JBV3]",naked_mole_rat
ENSHGLG00000034955,,4,protein_coding,,naked_mole_rat
ENSHGLG00000007074,,4,protein_coding,,naked_mole_rat
ENSHGLG00000007115,,4,protein_coding,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]",naked_mole_rat
ENSHGLG00000041431,,4,protein_coding,,naked_mole_rat
ENSHGLG00000045416,TACR1,4,protein_coding,tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526],naked_mole_rat
ENSHGLG00000008716,,4,protein_coding,,naked_mole_rat
ENSHGLG00000047665,,4,protein_coding,,naked_mole_rat
ENSHGLG00000004956,BOLA3,4,protein_coding,bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415],naked_mole_rat
ENSHGLG00000013272,DCTN1,4,protein_coding,dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711],naked_mole_rat
ENSHGLG00000034056,,4,protein_coding,,naked_mole_rat
ENSHGLG00000021375,,4,protein_coding,,naked_mole_rat
ENSHGLG00000050728,,4,protein_coding,,naked_mole_rat
ENSHGLG00000038719,,4,protein_coding,,naked_mole_rat
ENSHGLG00000016878,,4,protein_coding,,naked_mole_rat
ENSHGLG00000020050,,4,processed_pseudogene,,naked_mole_rat
ENSHGLG00000008215,,4,processed_pseudogene,,naked_mole_rat
ENSHGLG00000039846,,4,lncRNA,,naked_mole_rat
ENSHGLG00000036379,,4,lncRNA,,naked_mole_rat
ENSHGLG00000035769,,4,lncRNA,,naked_mole_rat
ENSHGLG00000036110,,4,lncRNA,,naked_mole_rat
ENSHGLG00000042395,,4,lncRNA,,naked_mole_rat
ENSHGLG00000045189,,4,lncRNA,,naked_mole_rat
ENSHGLG00000044251,,4,lncRNA,,naked_mole_rat
ENSHGLG00000044701,,4,lncRNA,,naked_mole_rat
ENSHGLG00000036518,,4,lncRNA,,naked_mole_rat
ENSHGLG00000047694,,4,lncRNA,,naked_mole_rat
ENSHGLG00000032465,,4,lncRNA,,naked_mole_rat
ENSHGLG00000038408,,4,lncRNA,,naked_mole_rat
ENSHGLG00000044846,,4,lncRNA,,naked_mole_rat
ENSHGLG00000024296,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000024336,U2,4,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000032236,U2,4,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000023174,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000044996,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000048861,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000038642,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000042078,U2,4,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000035659,U5,4,snRNA,U5 spliceosomal RNA [Source:RFAM;Acc:RF00020],naked_mole_rat
ENSHGLG00000048549,U4,4,snRNA,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],naked_mole_rat
ENSHGLG00000032283,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000044135,U2,4,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000040060,INO80B,4,protein_coding,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324],naked_mole_rat
ENSHGLG00000009538,WDR54,4,protein_coding,WD repeat domain 54 [Source:UniProtKB Gene Name;Acc:A0A0P6JDF4],naked_mole_rat
ENSHGLG00000040920,,4,protein_coding,,naked_mole_rat
ENSHGLG00000005353,,4,protein_coding,solute carrier family 4 member 5 [Source:HGNC Symbol;Acc:HGNC:18168],naked_mole_rat
ENSHGLG00000008427,MOB1A,4,protein_coding,MOB kinase activator 1A [Source:HGNC Symbol;Acc:HGNC:16015],naked_mole_rat
ENSHGLG00000020750,,3,pseudogene,,naked_mole_rat
ENSHGLG00000008673,MKI67IP,3,protein_coding,,naked_mole_rat
ENSHGLG00000034645,,3,protein_coding,,naked_mole_rat
ENSHGLG00000007212,MARCO,3,protein_coding,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895],naked_mole_rat
ENSHGLG00000008731,,3,protein_coding,,naked_mole_rat
ENSHGLG00000045797,,3,protein_coding,,naked_mole_rat
ENSHGLG00000047626,,3,protein_coding,,naked_mole_rat
ENSHGLG00000037915,TSN,3,protein_coding,translin [Source:UniProtKB Gene Name;Acc:A0A0P6IX47],naked_mole_rat
ENSHGLG00000005121,,3,protein_coding,,naked_mole_rat
ENSHGLG00000004535,GLI2,3,protein_coding,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],naked_mole_rat
ENSHGLG00000041610,,3,protein_coding,,naked_mole_rat
ENSHGLG00000047186,,3,protein_coding,,naked_mole_rat
ENSHGLG00000045731,,3,protein_coding,,naked_mole_rat
ENSHGLG00000010314,,3,protein_coding,,naked_mole_rat
ENSHGLG00000044287,,3,protein_coding,,naked_mole_rat
ENSHGLG00000039301,,3,protein_coding,,naked_mole_rat
ENSHGLG00000038753,,3,protein_coding,,naked_mole_rat
ENSHGLG00000038322,,3,protein_coding,,naked_mole_rat
ENSHGLG00000040475,,3,protein_coding,,naked_mole_rat
ENSHGLG00000005027,C1QL2,3,protein_coding,complement C1q like 2 [Source:HGNC Symbol;Acc:HGNC:24181],naked_mole_rat
ENSHGLG00000041983,STEAP3,3,protein_coding,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592],naked_mole_rat
ENSHGLG00000001644,MYO1B,3,protein_coding,myosin IB [Source:HGNC Symbol;Acc:HGNC:7596],naked_mole_rat
ENSHGLG00000016324,DDX18,3,protein_coding,DEAD-box helicase 18 [Source:UniProtKB Gene Name;Acc:A0A0P6J1E5],naked_mole_rat
ENSHGLG00000042944,,3,protein_coding,,naked_mole_rat
ENSHGLG00000039589,NABP1,3,protein_coding,nucleic acid binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A0P6K1P7],naked_mole_rat
ENSHGLG00000002660,GTF3C3,3,protein_coding,general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666],naked_mole_rat
ENSHGLG00000016311,,3,protein_coding,,naked_mole_rat
ENSHGLG00000003131,,3,protein_coding,,naked_mole_rat
ENSHGLG00000003406,,3,protein_coding,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]",naked_mole_rat
ENSHGLG00000033429,,3,protein_coding,,naked_mole_rat
ENSHGLG00000016525,CFAP221,3,protein_coding,cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720],naked_mole_rat
ENSHGLG00000036485,,3,protein_coding,,naked_mole_rat
ENSHGLG00000034383,,3,protein_coding,,naked_mole_rat
ENSHGLG00000012507,,3,protein_coding,,naked_mole_rat
ENSHGLG00000010182,,3,protein_coding,,naked_mole_rat
ENSHGLG00000014801,TMEM177,3,protein_coding,transmembrane protein 177 [Source:HGNC Symbol;Acc:HGNC:28143],naked_mole_rat
ENSHGLG00000035702,,3,protein_coding,serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396],naked_mole_rat
ENSHGLG00000012392,,3,protein_coding,,naked_mole_rat
ENSHGLG00000008471,PTPN4,3,protein_coding,protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656],naked_mole_rat
