homo_sapiens_gene,heterocephalus_glaber_female_gene,orthology_type,perc_id,dn_ds
PADI2,ENSHGLG00000016874,ortholog_one2one,92.6316,
GPR20,ENSHGLG00000020410,ortholog_one2one,82.6816,
PTP4A3,ENSHGLG00000014998,ortholog_one2one,70.4663,
C8orf90,ENSHGLG00000018605,ortholog_one2one,71.2575,
DHRSX,ENSHGLG00000044121,ortholog_one2one,75.7377,
ORAI1,ENSHGLG00000017969,ortholog_one2one,93.8983,
SHOX,ENSHGLG00000000231,ortholog_one2one,87.372,
CRLF2,ENSHGLG00000032025,ortholog_one2one,40.7809,
ASMT,ENSHGLG00000000347,ortholog_one2one,58.651,
ACTG1,ENSHGLG00000009170,ortholog_one2one,97.6316,
BAHCC1,ENSHGLG00000006440,ortholog_one2one,80.9451,
ZBED1,ENSHGLG00000035208,ortholog_one2one,71.4286,
C6orf52,ENSHGLG00000017556,ortholog_one2one,61.0738,
CD99,ENSHGLG00000042721,ortholog_one2one,56.872,
PAK1IP1,ENSHGLG00000048467,ortholog_one2one,73.6842,
PLCXD1,ENSHGLG00000032885,ortholog_one2one,36.1217,
GCNT2,ENSHGLG00000046293,ortholog_one2one,73.6702,
P2RY8,ENSHGLG00000046211,ortholog_one2one,74.4505,
IL3RA,ENSHGLG00000035502,ortholog_one2one,42.7056,
ASMTL,ENSHGLG00000000257,ortholog_one2one,54.6774,
CSF2RA,ENSHGLG00000043703,ortholog_one2one,47.1698,
ECSCR,ENSHGLG00000006931,ortholog_one2one,44.4089,
SMIM33,ENSHGLG00000008582,ortholog_one2one,71.2,
STING1,ENSHGLG00000032049,ortholog_one2one,62.4454,
IL9R,ENSHGLG00000002282,ortholog_one2one,65.3251,
VAMP7,ENSHGLG00000046871,ortholog_one2one,97.0588,
ITGA9,ENSHGLG00000008865,ortholog_one2one,92.0233,
SRY,ENSHGLG00000045866,ortholog_one2one,47.7833,
TMSB4Y,ENSHGLG00000000815,ortholog_one2one,56.9444,
C1R,ENSHGLG00000001453,ortholog_one2one,65.9731,
IBTK,ENSHGLG00000003363,ortholog_one2one,90.3846,
C1RL,ENSHGLG00000042250,ortholog_one2one,70.0624,
RBP5,ENSHGLG00000001579,ortholog_one2one,48.9583,
CLSTN3,ENSHGLG00000001611,ortholog_one2one,83.1569,
PEX5,ENSHGLG00000001679,ortholog_one2one,95.1562,
RNU6-130P,ENSHGLG00000040899,ortholog_one2one,84.1122,
TPBG,ENSHGLG00000003190,ortholog_one2one,66.6667,
TRIM71,ENSHGLG00000001826,ortholog_one2one,98.0437,
CNOT10,ENSHGLG00000001731,ortholog_one2one,89.6766,
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,
H2AC25,ENSHGLG00000037975,ortholog_one2one,100.0,
RNF187,ENSHGLG00000000597,ortholog_one2one,80.6691,
RHOU,ENSHGLG00000040291,ortholog_one2one,74.216,
ELP5,ENSHGLG00000041587,ortholog_one2one,50.7246,
CLDN7,ENSHGLG00000011140,ortholog_one2one,79.6208,
SLC2A4,ENSHGLG00000013185,ortholog_one2one,94.685,
DYRK1B,ENSHGLG00000008918,ortholog_one2one,77.2554,
YBX2,ENSHGLG00000014186,ortholog_one2one,85.9459,
FBL,ENSHGLG00000009686,ortholog_one2one,96.8944,
PSMC4,ENSHGLG00000011292,ortholog_one2one,100.0,
GPS2,ENSHGLG00000011192,ortholog_one2one,78.8732,
ZNF780B,ENSHGLG00000046743,ortholog_one2one,65.7277,
CARMIL3,ENSHGLG00000004564,ortholog_one2one,93.5879,
CPNE6,ENSHGLG00000004060,ortholog_one2one,92.3208,
KCTD11,ENSHGLG00000047152,ortholog_one2one,90.9483,
USP9Y,ENSHGLG00000032166,ortholog_one2one,84.1558,
NRL,ENSHGLG00000003953,ortholog_one2one,91.5612,
PCK2,ENSHGLG00000003721,ortholog_one2one,93.9062,
CASP8AP2,ENSHGLG00000050644,ortholog_one2one,73.1231,
DCAF11,ENSHGLG00000003175,ortholog_one2one,95.2381,
PSME1,ENSHGLG00000003645,ortholog_one2one,97.1888,
NXNL2,ENSHGLG00000039721,ortholog_one2one,68.1081,
EMC9,ENSHGLG00000035251,ortholog_one2one,68.1223,
PSME2,ENSHGLG00000003315,ortholog_one2one,95.3975,
RNF31,ENSHGLG00000002544,ortholog_one2one,81.7248,
SURF6,ENSHGLG00000032558,ortholog_one2one,66.4122,
MED22,ENSHGLG00000013372,ortholog_one2one,97.0,
IRF9,ENSHGLG00000002309,ortholog_one2one,56.8047,
REC8,ENSHGLG00000001626,ortholog_one2one,79.4521,
SNORD24,ENSHGLG00000023995,ortholog_one2one,90.6667,
SNORD36B,ENSHGLG00000024533,ortholog_one2one,76.1194,
SNORD36C,ENSHGLG00000041284,ortholog_one2one,77.6119,
SURF1,ENSHGLG00000014684,ortholog_one2one,76.6562,
SURF2,ENSHGLG00000019109,ortholog_one2one,63.7993,
IPO4,ENSHGLG00000002923,ortholog_one2one,89.62,
SURF4,ENSHGLG00000042282,ortholog_one2one,83.1169,
STKLD1,ENSHGLG00000015309,ortholog_one2one,17.561,
REXO4,ENSHGLG00000016901,ortholog_one2one,75.1196,
ADAMTS13,ENSHGLG00000016856,ortholog_one2one,56.4848,
TM9SF1,ENSHGLG00000002683,ortholog_one2one,97.0297,
NEDD8,ENSHGLG00000043958,ortholog_one2one,68.6567,
CACFD1,ENSHGLG00000019453,ortholog_one2one,75.1244,
GMPR2,ENSHGLG00000002296,ortholog_one2one,85.2713,
SLC2A6,ENSHGLG00000018833,ortholog_one2one,86.6142,
KAT6B,ENSHGLG00000016932,ortholog_one2one,93.8775,
PLSCR3,ENSHGLG00000019015,ortholog_one2one,61.4754,
TGM1,ENSHGLG00000003157,ortholog_one2one,83.1435,
TMEM256,ENSHGLG00000018691,ortholog_one2one,89.3805,
ISLR,ENSHGLG00000007380,ortholog_one2one,65.7244,
NLGN2,ENSHGLG00000041822,ortholog_one2one,91.0891,
RABGGTA,ENSHGLG00000002942,ortholog_one2one,93.4744,
STRA6,ENSHGLG00000013329,ortholog_one2one,72.3684,
SPEM2,ENSHGLG00000009650,ortholog_one2one,60.5701,
FGF11,ENSHGLG00000042024,ortholog_one2one,82.6316,
ZBTB4,ENSHGLG00000046218,ortholog_one2one,92.6431,
DHRS1,ENSHGLG00000037207,ortholog_one2one,61.2583,
NOP9,ENSHGLG00000047445,ortholog_one2one,90.7821,
DUSP29,ENSHGLG00000034915,ortholog_one2one,76.6667,
CIDEB,ENSHGLG00000002818,ortholog_one2one,85.8447,
LTB4R2,ENSHGLG00000047445,ortholog_one2one,90.7821,
LTB4R,ENSHGLG00000002722,ortholog_one2one,75.0,
ADCY4,ENSHGLG00000001787,ortholog_one2one,94.0576,
TPRKB,ENSHGLG00000046503,ortholog_one2one,91.8699,
DUSP11,ENSHGLG00000012958,ortholog_one2one,78.6378,
CCDC33,ENSHGLG00000014900,ortholog_one2one,70.1807,
LTN1,ENSHGLG00000005092,ortholog_one2one,88.6211,
CYP11A1,ENSHGLG00000016326,ortholog_one2one,76.2452,
RWDD2B,ENSHGLG00000039973,ortholog_one2one,73.8028,
RIPK3,ENSHGLG00000032590,ortholog_one2one,68.9655,
SEMA7A,ENSHGLG00000016769,ortholog_one2one,88.7218,
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,
NFATC4,ENSHGLG00000001382,ortholog_one2one,95.1165,
UBL7,ENSHGLG00000017586,ortholog_one2one,89.9755,
APOB,ENSHGLG00000013850,ortholog_one2one,71.1911,
RPS6KA1,ENSHGLG00000013826,ortholog_one2one,92.4183,
SEL1L2,ENSHGLG00000017747,ortholog_one2one,85.5685,
SLC25A26,ENSHGLG00000010661,ortholog_one2one,60.0707,
ADIPOR2,ENSHGLG00000018584,ortholog_one2one,86.6511,
CACNA2D4,ENSHGLG00000009530,ortholog_one2one,86.034,
INPP5D,ENSHGLG00000003850,ortholog_one2one,86.5997,
ATG16L1,ENSHGLG00000019537,ortholog_one2one,91.8269,
ZKSCAN7,ENSHGLG00000033979,ortholog_one2one,88.8268,
ZNF660,ENSHGLG00000039143,ortholog_one2one,93.0091,
ZNF197,ENSHGLG00000017232,ortholog_one2one,90.4287,
ZNF35,ENSHGLG00000043763,ortholog_one2one,89.7143,
ZNF502,ENSHGLG00000036985,ortholog_one2one,85.4244,
KIAA1143,ENSHGLG00000012135,ortholog_one2one,76.5714,
KIF15,ENSHGLG00000011770,ortholog_one2one,81.6655,
LRTM2,ENSHGLG00000015685,ortholog_one2one,76.0274,
DDX51,ENSHGLG00000041416,ortholog_one2one,80.791,
DCP1B,ENSHGLG00000019233,ortholog_one2one,79.5953,
CENATAC,ENSHGLG00000005504,ortholog_one2one,85.3448,
CACNA1C,ENSHGLG00000015597,ortholog_one2one,93.7814,
GALNT9,ENSHGLG00000040511,ortholog_one2one,59.8985,
TMEM42,ENSHGLG00000011454,ortholog_one2one,36.3322,
HYOU1,ENSHGLG00000006941,ortholog_one2one,91.4634,
MLXIP,ENSHGLG00000018516,ortholog_one2one,80.5263,
XYLT1,ENSHGLG00000009585,ortholog_one2one,92.7597,
KPNA7,ENSHGLG00000011028,ortholog_one2one,95.6679,
RTP1,ENSHGLG00000013919,ortholog_one2one,87.8327,
MASP1,ENSHGLG00000013470,ortholog_one2one,89.2517,
VPS11,ENSHGLG00000007268,ortholog_one2one,98.1934,
PADI1,ENSHGLG00000009631,ortholog_one2one,78.3459,
PADI3,ENSHGLG00000012873,ortholog_one2one,87.8195,
HBP1,ENSHGLG00000019188,ortholog_one2one,94.4762,
PADI4,ENSHGLG00000018245,ortholog_one2one,72.4292,
SLC37A4,ENSHGLG00000006518,ortholog_one2one,79.085,
TMPRSS15,ENSHGLG00000016237,ortholog_one2one,79.7217,
PADI6,ENSHGLG00000019075,ortholog_one2one,70.4412,
RCC2,ENSHGLG00000015955,ortholog_one2one,97.9127,
ACTR1B,ENSHGLG00000009168,ortholog_one2one,98.1333,
COG5,ENSHGLG00000007552,ortholog_one2one,90.3302,
CLDN17,ENSHGLG00000020247,ortholog_one2one,85.2679,
KRTAP24-1,ENSHGLG00000037357,ortholog_one2one,62.6016,
RNU4-8P,ENSHGLG00000035409,ortholog_one2one,44.5055,
NCAM2,ENSHGLG00000013262,ortholog_one2one,95.8184,
ZAP70,ENSHGLG00000004616,ortholog_one2one,92.9967,
GPR22,ENSHGLG00000011203,ortholog_one2one,90.7923,
PCP4,ENSHGLG00000043480,ortholog_one2one,96.7742,
DSCAM,ENSHGLG00000005193,ortholog_one2one,94.8964,
CLDN8,ENSHGLG00000050332,ortholog_one2one,72.8033,
MORC3,ENSHGLG00000018450,ortholog_one2one,86.6738,
BCAP29,ENSHGLG00000038167,ortholog_one2one,87.1369,
CHODL,ENSHGLG00000008201,ortholog_one2one,95.6044,
SH3GL3,ENSHGLG00000009483,ortholog_one2one,92.219,
IGKV5-2,ENSHGLG00000033396,ortholog_one2one,60.0,
ZSCAN2,ENSHGLG00000042242,ortholog_one2one,71.9388,
WDR73,ENSHGLG00000005731,ortholog_one2one,76.0638,
RNU1-139P,ENSHGLG00000021645,ortholog_one2one,81.875,
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,
NMB,ENSHGLG00000005787,ortholog_one2one,54.1096,
SIM2,ENSHGLG00000008945,ortholog_one2one,83.7713,
RIPPLY3,ENSHGLG00000044887,ortholog_one2one,35.0,
RNF139,ENSHGLG00000005311,ortholog_one2one,92.9323,
RRP1B,ENSHGLG00000004968,ortholog_one2one,60.0817,
C13orf46,ENSHGLG00000002286,ortholog_one2one,46.1538,
RASA3,ENSHGLG00000002110,ortholog_one2one,92.1969,
AGPAT3,ENSHGLG00000048529,ortholog_one2one,89.3617,
NIPA1,ENSHGLG00000008301,ortholog_one2one,99.6914,
CYFIP1,ENSHGLG00000008409,ortholog_one2one,98.8827,
MAGEL2,ENSHGLG00000020818,ortholog_one2one,77.4007,
NDN,ENSHGLG00000048511,ortholog_one2one,80.3077,
HPS5,ENSHGLG00000010391,ortholog_one2one,87.1111,
PCP4,ENSHGLG00000043480,ortholog_one2one,96.7742,
DSCAM,ENSHGLG00000005193,ortholog_one2one,94.8964,
PCDHAC2,ENSHGLG00000005853,ortholog_one2one,95.509,
RIPK4,ENSHGLG00000011078,ortholog_one2one,88.648,
PCDHB2,ENSHGLG00000007925,ortholog_one2one,81.2265,
PCDHB5,ENSHGLG00000038543,ortholog_one2one,80.3129,
ZNF558,ENSHGLG00000037845,ortholog_one2one,88.806,
PCDHB6,ENSHGLG00000009739,ortholog_one2one,78.4731,
MBD3L1,ENSHGLG00000006678,ortholog_one2one,68.0628,
TFF2,ENSHGLG00000006500,ortholog_one2one,62.3188,
UBASH3A,ENSHGLG00000036614,ortholog_one2one,78.8079,
PCDHB3,ENSHGLG00000007925,ortholog_one2one,81.2265,
MED10,ENSHGLG00000040324,ortholog_one2one,39.6476,
RNF135,ENSHGLG00000041636,ortholog_one2one,67.6093,
UBE2QL1,ENSHGLG00000042708,ortholog_one2one,55.9028,
OMG,ENSHGLG00000038199,ortholog_one2one,92.3251,
HSF1,ENSHGLG00000017965,ortholog_one2one,81.6926,
EVI2B,ENSHGLG00000043351,ortholog_one2one,72.4062,
DNMT3L,ENSHGLG00000009448,ortholog_one2one,60.0,
CFAP410,ENSHGLG00000016027,ortholog_one2one,48.0938,
DGAT1,ENSHGLG00000006374,ortholog_one2one,73.7303,
COL3A1,ENSHGLG00000001404,ortholog_one2one,90.7534,
OLIG1,ENSHGLG00000041895,ortholog_one2one,69.1358,
SCRT1,ENSHGLG00000037471,ortholog_one2one,92.2857,
TMEM249,ENSHGLG00000033333,ortholog_one2one,69.953,
UMODL1,ENSHGLG00000015409,ortholog_one2one,66.25,
FBXL6,ENSHGLG00000007296,ortholog_one2one,83.6431,
ADCK5,ENSHGLG00000016852,ortholog_one2one,81.3793,
CPSF1,ENSHGLG00000016139,ortholog_one2one,92.9314,
KRTAP7-1,ENSHGLG00000020396,ortholog_one2one,78.2051,
MEF2D,ENSHGLG00000019055,ortholog_one2one,84.1122,
IQGAP3,ENSHGLG00000018362,ortholog_one2one,84.6384,
MCM3AP,ENSHGLG00000012528,ortholog_one2one,78.7934,
HAPLN2,ENSHGLG00000003467,ortholog_one2one,90.6158,
SLC39A4,ENSHGLG00000016488,ortholog_one2one,75.6024,
KBTBD4,ENSHGLG00000047234,ortholog_one2one,91.2,
MZT1,ENSHGLG00000007919,ortholog_one2one,77.381,
FAM180B,ENSHGLG00000038229,ortholog_one2one,70.9091,
KLHL1,ENSHGLG00000004996,ortholog_one2one,96.5287,
VPS28,ENSHGLG00000015325,ortholog_one2one,74.031,
TTC3,ENSHGLG00000005139,ortholog_one2one,73.323,
FREM2,ENSHGLG00000000398,ortholog_one2one,90.7028,
CBY2,ENSHGLG00000009737,ortholog_one2one,73.5294,
MTCH2,ENSHGLG00000017536,ortholog_one2one,85.489,
POU4F1,ENSHGLG00000007136,ortholog_one2one,98.5472,
NHLRC3,ENSHGLG00000000513,ortholog_one2one,89.3372,
OLFM4,ENSHGLG00000003692,ortholog_one2one,75.0,
DIAPH3,ENSHGLG00000018541,ortholog_one2one,88.5202,
MYG1,ENSHGLG00000049848,ortholog_one2one,88.5542,
AAAS,ENSHGLG00000002843,ortholog_one2one,93.0147,
KRTAP26-1,ENSHGLG00000048050,ortholog_one2one,53.8813,
KRTAP15-1,ENSHGLG00000036136,ortholog_one2one,56.6434,
KRTAP19-3,ENSHGLG00000046162,ortholog_one2one,75.0,
PNLIPRP1,ENSHGLG00000047870,ortholog_one2one,69.1649,
SP7,ENSHGLG00000000980,ortholog_one2one,89.9777,
SPMIP5,ENSHGLG00000016224,ortholog_one2one,63.3929,
OR4K2,ENSHGLG00000019998,ortholog_one2one,85.8044,
PNLIPRP2,ENSHGLG00000015278,ortholog_one2one,73.1405,
OR4K1,ENSHGLG00000034184,ortholog_one2one,89.0675,
OR4K14,ENSHGLG00000020266,ortholog_one2one,85.1613,
MIR125B2,ENSHGLG00000022569,ortholog_one2one,100.0,
OR4L1,ENSHGLG00000035213,ortholog_one2one,80.3226,
OR11G2,ENSHGLG00000049076,ortholog_one2one,80.3858,
OR11H6,ENSHGLG00000019221,ortholog_one2one,85.3125,
OR11H4,ENSHGLG00000045419,ortholog_one2one,84.7134,
TTC5,ENSHGLG00000018917,ortholog_one2one,76.2781,
CCNB1IP1,ENSHGLG00000004943,ortholog_one2one,94.2238,
SNORA79B,ENSHGLG00000023626,ortholog_one2one,86.4865,
SNORD126,ENSHGLG00000021624,ortholog_one2one,93.5065,
TEP1,ENSHGLG00000004168,ortholog_one2one,77.0396,
ZNF496,ENSHGLG00000001102,ortholog_one2one,68.9453,
CTTN,ENSHGLG00000011727,ortholog_one2one,94.1818,
PCNT,ENSHGLG00000015807,ortholog_one2one,64.7924,
OR52J3,ENSHGLG00000021128,ortholog_one2one,80.1282,
OR52E2,ENSHGLG00000021222,ortholog_one2one,84.2271,
KLHL33,ENSHGLG00000003623,ortholog_one2one,83.1202,
OSGEP,ENSHGLG00000003341,ortholog_one2one,96.1194,
APEX1,ENSHGLG00000045150,ortholog_one2one,85.4701,
PIP4P1,ENSHGLG00000002937,ortholog_one2one,95.0704,
PNP,ENSHGLG00000011831,ortholog_one2one,34.2246,
RNASE10,ENSHGLG00000032299,ortholog_one2one,71.2963,
OR4K3,ENSHGLG00000009722,ortholog_one2one,67.8445,
SON,ENSHGLG00000032218,ortholog_one2one,98.0089,
PCDH17,ENSHGLG00000006849,ortholog_one2one,95.7912,
OR4Q2,ENSHGLG00000021215,ortholog_one2one,54.2945,
FCER1A,ENSHGLG00000007498,ortholog_one2one,56.6038,
PPFIA1,ENSHGLG00000013241,ortholog_one2one,92.2652,
GPRC5C,ENSHGLG00000040767,ortholog_one2one,86.5385,
OR10J4,ENSHGLG00000020816,ortholog_one2one,57.8778,
CD300A,ENSHGLG00000013459,ortholog_one2one,45.0425,
CD300LB,ENSHGLG00000040395,ortholog_one2one,62.6214,
CD300C,ENSHGLG00000004186,ortholog_one2one,57.7465,
LRCH1,ENSHGLG00000003678,ortholog_one2one,87.482,
GBA3,ENSHGLG00000046378,ortholog_one2one,75.3846,
SLITRK6,ENSHGLG00000000248,ortholog_one2one,91.3813,
SOX1,ENSHGLG00000049467,ortholog_one2one,97.8552,
LRFN1,ENSHGLG00000018309,ortholog_one2one,94.0645,
GMFG,ENSHGLG00000015856,ortholog_one2one,67.1569,
NRIP1,ENSHGLG00000041772,ortholog_one2one,89.0138,
CCDC40,ENSHGLG00000007128,ortholog_one2one,66.637,
CENPN,ENSHGLG00000050859,ortholog_one2one,72.7027,
RCAN1,ENSHGLG00000033178,ortholog_one2one,75.4167,
GAA,ENSHGLG00000008110,ortholog_one2one,84.3487,
EIF4A3,ENSHGLG00000004635,ortholog_one2one,85.865,
ATMIN,ENSHGLG00000014861,ortholog_one2one,81.872,
C16orf46,ENSHGLG00000034703,ortholog_one2one,54.6196,
GCSH,ENSHGLG00000036167,ortholog_one2one,73.0769,
NALF1,ENSHGLG00000047551,ortholog_one2one,44.7826,
GRK1,ENSHGLG00000002895,ortholog_one2one,78.1915,
PKD1L2,ENSHGLG00000038072,ortholog_one2one,61.8669,
UBL3,ENSHGLG00000040587,ortholog_one2one,68.75,
GRIK1,ENSHGLG00000008751,ortholog_one2one,97.2163,
FAM216B,ENSHGLG00000004363,ortholog_one2one,67.1233,
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,
RNU6-80P,ENSHGLG00000045978,ortholog_one2one,87.8505,
RNU6-61P,ENSHGLG00000037020,ortholog_one2one,84.0708,
RNU6-54P,ENSHGLG00000023341,ortholog_one2one,79.6116,
RNU6-77P,ENSHGLG00000023060,ortholog_one2one,81.6901,
RNU6-38P,ENSHGLG00000047664,ortholog_one2one,97.1963,
SNORD31B,ENSHGLG00000022386,ortholog_one2one,84.058,
MIR15A,ENSHGLG00000022489,ortholog_one2one,76.8421,
RNU6-926P,ENSHGLG00000048883,ortholog_one2one,82.243,
FAM124A,ENSHGLG00000039693,ortholog_one2one,79.1209,
ZAR1L,ENSHGLG00000006253,ortholog_one2one,74.1433,
RFXAP,ENSHGLG00000004899,ortholog_one2one,77.7778,
SIAH3,ENSHGLG00000008529,ortholog_one2one,93.2584,
KCNE2,ENSHGLG00000047687,ortholog_one2one,75.7143,
SLITRK1,ENSHGLG00000043563,ortholog_one2one,98.8506,
KBTBD7,ENSHGLG00000020078,ortholog_one2one,94.8357,
RNU6-57P,ENSHGLG00000023337,ortholog_one2one,88.2353,
CYYR1,ENSHGLG00000044595,ortholog_one2one,87.0968,
RNU6-74P,ENSHGLG00000037121,ortholog_one2one,92.5234,
CRYAA,ENSHGLG00000009413,ortholog_one2one,82.6531,
RNU2-7P,ENSHGLG00000039453,ortholog_one2one,70.6806,
RNU6-78P,ENSHGLG00000023529,ortholog_one2one,67.3077,
SHISA2,ENSHGLG00000009578,ortholog_one2one,93.8983,
RXFP2,ENSHGLG00000009276,ortholog_one2one,87.9884,
FRY,ENSHGLG00000009415,ortholog_one2one,95.6835,
PLCL2,ENSHGLG00000007251,ortholog_one2one,90.6679,
SQSTM1,ENSHGLG00000012249,ortholog_one2one,67.78,
RUFY1,ENSHGLG00000017638,ortholog_one2one,90.8962,
CCDC70,ENSHGLG00000019810,ortholog_one2one,83.0986,
GPR18,ENSHGLG00000019439,ortholog_one2one,87.1642,
ZYX,ENSHGLG00000011336,ortholog_one2one,88.8689,
ATP8A2,ENSHGLG00000006272,ortholog_one2one,95.4545,
CBY3,ENSHGLG00000014040,ortholog_one2one,50.7177,
EPHA1,ENSHGLG00000007593,ortholog_one2one,83.714,
TAS2R60,ENSHGLG00000021377,ortholog_one2one,55.6962,
SYT8,ENSHGLG00000009855,ortholog_one2one,75.8355,
SACS,ENSHGLG00000014610,ortholog_one2one,94.1394,
OR6B1,ENSHGLG00000020632,ortholog_one2one,89.3891,
AKAIN1,ENSHGLG00000007011,ortholog_one2one,45.283,
SLC14A2,ENSHGLG00000046959,ortholog_one2one,78.1938,
LSP1,ENSHGLG00000049573,ortholog_one2one,62.5668,
KCTD12,ENSHGLG00000044311,ortholog_one2one,99.0769,
CLN5,ENSHGLG00000005042,ortholog_one2one,85.1744,
MAML1,ENSHGLG00000007422,ortholog_one2one,86.8952,
LTC4S,ENSHGLG00000008079,ortholog_one2one,58.1633,
HRH4,ENSHGLG00000043231,ortholog_one2one,62.3529,
ST8SIA3,ENSHGLG00000037037,ortholog_one2one,72.6397,
LIAT1,ENSHGLG00000039908,ortholog_one2one,60.0,
VPS53,ENSHGLG00000011774,ortholog_one2one,96.9952,
METTL21C,ENSHGLG00000047006,ortholog_one2one,82.197,
SLC10A2,ENSHGLG00000000823,ortholog_one2one,76.0446,
CDH7,ENSHGLG00000001249,ortholog_one2one,80.829,
ZP2,ENSHGLG00000009985,ortholog_one2one,67.7098,
ZIC2,ENSHGLG00000019583,ortholog_one2one,96.8932,
ZIC5,ENSHGLG00000037930,ortholog_one2one,88.3117,
GSX1,ENSHGLG00000039858,ortholog_one2one,93.985,
MC4R,ENSHGLG00000021304,ortholog_one2one,96.988,
NBEA,ENSHGLG00000004608,ortholog_one2one,97.7981,
CDH20,ENSHGLG00000008984,ortholog_one2one,75.6168,
ANKS4B,ENSHGLG00000046272,ortholog_one2one,85.1319,
MRNIP,ENSHGLG00000034162,ortholog_one2one,75.2941,
POLR3E,ENSHGLG00000009296,ortholog_one2one,85.059,
PRR33,ENSHGLG00000042252,ortholog_one2one,63.6971,
EEF2K,ENSHGLG00000009805,ortholog_one2one,85.6552,
TNNT3,ENSHGLG00000006147,ortholog_one2one,75.9197,
C18orf21,ENSHGLG00000038453,ortholog_one2one,82.0276,
PDZD9,ENSHGLG00000008551,ortholog_one2one,69.4118,
METTL9,ENSHGLG00000010368,ortholog_one2one,98.1073,
IGSF6,ENSHGLG00000040817,ortholog_one2one,75.3138,
SLC39A6,ENSHGLG00000001373,ortholog_one2one,90.0135,
SNORD27,ENSHGLG00000021631,ortholog_one2one,83.8235,
RNU6-59P,ENSHGLG00000050138,ortholog_one2one,88.4615,
FGF9,ENSHGLG00000031951,ortholog_one2one,99.0385,
GALR1,ENSHGLG00000001233,ortholog_one2one,89.1117,
RFLNB,ENSHGLG00000049864,ortholog_one2one,57.0776,
TBC1D9B,ENSHGLG00000014248,ortholog_one2one,86.248,
MARCHF8,ENSHGLG00000032576,ortholog_one2one,75.8741,
OR13A1,ENSHGLG00000020198,ortholog_one2one,82.8479,
RNU6-53P,ENSHGLG00000035917,ortholog_one2one,79.4393,
ALOX5,ENSHGLG00000000545,ortholog_one2one,91.9762,
TNFSF11,ENSHGLG00000043143,ortholog_one2one,90.566,
TWIST2,ENSHGLG00000048858,ortholog_one2one,98.75,
HNRNPH1,ENSHGLG00000018565,ortholog_one2one,92.5847,
ALG11,ENSHGLG00000009232,ortholog_one2one,84.6,
